Parent - Child Weight Probability Score
KLF10 -| BCL6 -0.252912 0.997825 -0.343663
MYEF2 -| BCL6 -0.390544 0.938401 -0.499078
NFATC2 -| BCL6 -0.259670 0.578275 -0.204487
RUNX1 -| BCL6 -0.213547 0.820735 -0.238674
SP3 -| BCL6 -0.233341 0.752027 -0.238965
TRIM28 -| BCL6 -0.597071 0.999888 -0.812992
EGR2 -| CEBPB -0.048851 0.585774 -0.038968
KLF13 -| CEBPB -0.063235 0.536738 -0.046220
FLI1 -| EGR2 -0.559132 0.990434 -0.754134
MYB -| EGR2 -0.395957 0.550969 -0.297087
SP3 -| EGR2 -0.323884 0.822200 -0.362640
TRIM28 -| EGR2 -0.394285 0.933450 -0.501199
FLI1 -| FOS -0.188153 0.980107 -0.251127
MYB -| FOS -0.227501 0.901530 -0.279301
EGR2 -| HOXA13 -0.074577 0.950313 -0.096511
ETS1 -| HOXA13 -0.198896 0.927384 -0.251185
FOS -| HOXA13 -0.131986 0.983443 -0.176761
LMO2 -| HOXA13 -0.060886 0.656599 -0.054441
FOS -| IRF8 -0.117462 0.884921 -0.141550
NFYC -| IRF8 -0.087569 0.751297 -0.089593
RXRB -| IRF8 -0.114686 0.679468 -0.106118
SNAI1 -| IRF8 -0.125643 0.604483 -0.103426
CBFB -| JUN -0.150629 0.775133 -0.158999
CEBPD -| JUN -0.105406 0.575646 -0.082629
MYB -| JUN -0.256641 0.966027 -0.337617
RREB1 -| JUN -0.124178 0.950183 -0.160680
SPIB -| JUN -0.214300 0.825656 -0.240952
TRIM28 -| JUN -0.224486 0.998639 -0.305286
BCL6 -| KLF10 -0.163388 0.956050 -0.212720
MYB -| KLF10 -0.734386 0.999923 -1.000000
PPARD -| KLF10 -0.351168 0.999263 -0.477864
RXRB -| KLF10 -0.241661 0.793286 -0.261063
RUNX1 -| KLF13 -0.072445 0.627885 -0.061944
RXRB -| LMO2 -0.119239 0.630145 -0.102321
FLI1 -| MAFB -0.509965 0.982084 -0.682021
KLF10 -| MAFB -0.184683 0.720696 -0.181254
MYEF2 -| MAFB -0.318481 0.550206 -0.238626
TRIM28 -| MAFB -0.545185 0.995669 -0.739211
TRIM28 -> MYB 0.349018 0.596961 0.283729
EGR2 -| MYEF2 -0.057935 0.560302 -0.044205
HOXA10 -| MYEF2 -0.151579 0.770275 -0.158999
SMAD3 -| MYEF2 -0.138065 0.671866 -0.126321
SPI1 -| MYEF2 -0.070764 0.645637 -0.062217
VDR -| MYEF2 -0.155160 0.511045 -0.107981
JUN -| NFATC1 -0.062292 0.504501 -0.042796
MYB -| NFATC1 -0.212524 0.997358 -0.288648
EGR2 -| NFATC2 -0.042392 0.666985 -0.038504
JUN -| NFATC2 -0.069505 0.637203 -0.060312
SMAD4 -| NFATC2 -0.129568 0.986156 -0.174001
CEBPD -| NFYC -0.123829 0.667328 -0.112530
MYB -| NFYC -0.169291 0.723318 -0.166752
FLI1 -| PPARD -0.058512 0.536254 -0.042729
KLF10 -| PPARD -0.102027 0.999929 -0.138930
KLF10 -| PPARG -0.168778 0.920066 -0.211468
MYB -| PPARG -0.486006 0.971131 -0.642730
MYEF2 -| PPARG -0.358576 0.963463 -0.470463
RREB1 -| PPARG -0.171442 0.741578 -0.173134
RUNX1 -| PPARG -0.229982 0.956241 -0.299481
SP3 -| PPARG -0.159765 0.599032 -0.130329
SPIB -| PPARG -0.363451 0.706693 -0.349773
TRIM28 -| PPARG -0.429911 0.998633 -0.584646
KLF10 -| PRDM1 -0.167562 1.000000 -0.228184
MYB -| PRDM1 -0.226838 0.924202 -0.285491
MYEF2 -| PRDM1 -0.174115 0.937644 -0.222322
NFYA -| PRDM1 -0.097506 0.885563 -0.117587
TRIM28 -| PRDM1 -0.114520 0.854044 -0.133190
BCL6 -| SNAI1 -0.086602 0.903087 -0.106504
MYB -| SNAI1 -0.507292 1.000000 -0.690823
RUNX1 -| SNAI1 -0.140188 0.979377 -0.186969
SPI1 -| SNAI1 -0.066135 0.541396 -0.048759
CEBPD -| SNAI3 -0.203331 0.568770 -0.157489
MYB -| SNAI3 -0.453485 0.976993 -0.603341
RREB1 -| SNAI3 -0.173492 0.782017 -0.184759
RUNX1 -| SNAI3 -0.175400 0.817930 -0.195369
TRIM28 -| SNAI3 -0.192357 0.712810 -0.186720
KLF10 -| SPI1 -0.118874 0.991092 -0.160439
MYEF2 -| SPI1 -0.209851 0.975930 -0.278893
SP3 -| SPI1 -0.068209 0.528276 -0.049069
TRIM28 -| SPI1 -0.148697 0.954750 -0.193331
BCL6 -| SPIB -0.052707 0.783114 -0.056209
SMAD3 -| SPIB -0.193240 0.998146 -0.262664
SMAD4 -> TCFL5 0.403952 0.853829 0.469689
SMAD4 -> TRIM28 0.497673 0.965282 0.654196
FOS -| URF1 -0.129592 0.727654 -0.128414
KLF13 -| URF1 -0.169986 0.911202 -0.210929
