Parent - Child Weight Probability Score
BCL6 -> BCL6 0.277020 1.000000 0.665045
CBFB -> BCL6 0.114306 0.523776 0.143733
EGR2 -> BCL6 0.297705 1.000000 0.714705
ELK1 -| BCL6 -0.133358 0.567898 -0.181815
ETS1 -> BCL6 0.176467 0.840025 0.355874
HOXA10 -> BCL6 0.182434 0.948164 0.415269
JUN -> BCL6 0.204710 0.997125 0.490037
LMO2 -> BCL6 0.168369 0.990772 0.400475
MAFB -> BCL6 0.211053 0.999971 0.506664
NFE2L1 -| BCL6 -0.139476 0.726494 -0.243260
PPARD -> BCL6 0.144797 0.869958 0.302411
PPARG -> BCL6 0.181178 0.998031 0.434101
PRDM1 -> BCL6 0.128083 0.674581 0.207427
RXRB -> BCL6 0.137858 0.752937 0.249191
TCF3 -> BCL6 0.148419 0.812974 0.289672
TFPT -> BCL6 0.130905 0.586592 0.184346
TRIM28 -| BCL6 -0.133585 0.756593 -0.242639
CBFB -> CBFB 0.089419 0.842740 0.180910
CEBPB -> CBFB 0.071475 0.658501 0.112992
CEBPD -> CBFB 0.101563 0.946808 0.230855
EGR2 -> CBFB 0.087064 0.987729 0.206452
FOS -| CBFB -0.074886 0.966824 -0.173814
HOXA10 -> CBFB 0.083253 0.827181 0.165326
KLF10 -> CBFB 0.095910 0.990548 0.228075
LMO2 -> CBFB 0.069125 0.529155 0.087813
MYB -> CBFB 0.067980 0.608505 0.099308
NFATC2 -> CBFB 0.073648 0.699941 0.123755
NFE2L1 -| CBFB -0.076747 0.916455 -0.168854
NFYA -| CBFB -0.051583 0.833124 -0.103171
PPARD -| CBFB -0.077024 0.971752 -0.179690
PPARG -> CBFB 0.084624 0.960793 0.195193
RREB1 -> CBFB 0.090504 0.934068 0.202948
RUNX1 -> CBFB 0.120112 0.999000 0.288066
SMAD4 -> CBFB 0.136880 0.997680 0.327847
SP3 -| CBFB -0.075739 0.938048 -0.170562
SPI1 -> CBFB 0.087279 0.894543 0.187435
TCFL5 -> CBFB 0.085760 0.775272 0.159617
