Parent	Child	-	Weight	Probability	Score
G4	G1	1	0.128627	0.950696	0.374274
G7	G1	-1	-0.084563	0.783047	-0.202667
G12	G1	-1	-0.078389	0.610794	-0.146543
G18	G1	1	0.124755	0.955692	0.364915
G19	G1	1	0.122515	0.784032	0.293994
G20	G1	1	0.153619	0.911991	0.428797
G21	G1	-1	-0.124222	0.885091	-0.336514
G22	G1	1	0.077481	0.547643	0.12987
G24	G1	1	0.131183	0.95554	0.383656
G26	G1	-1	-0.141407	0.992491	-0.42955
G27	G1	1	0.093336	0.787398	0.224935
G28	G1	-1	-0.071804	0.517113	-0.113645
G31	G1	-1	-0.107617	0.77013	-0.253665
G33	G1	-1	-0.10409	0.722188	-0.230078
G35	G1	1	0.065128	0.580151	0.115645
G38	G1	-1	-0.106329	0.685975	-0.223242
G43	G1	-1	-0.109032	0.916802	-0.305947
G48	G1	-1	-0.107226	0.888242	-0.291506
G49	G1	-1	-0.137691	0.975559	-0.411125
G50	G1	-1	-0.102836	0.751948	-0.236673
G51	G1	-1	-0.089673	0.767118	-0.210542
G55	G1	1	0.085687	0.729946	0.191435
G56	G1	1	0.13263	0.980224	0.397909
G61	G1	1	0.083929	0.537472	0.138064
G63	G1	-1	-0.064298	0.565297	-0.111247
G65	G1	1	0.152297	0.992802	0.462775
G66	G1	1	0.141679	0.970555	0.420863
G68	G1	1	0.072745	0.585303	0.130316
G70	G1	1	0.095344	0.600694	0.175292
G72	G1	-1	-0.098481	0.706064	-0.212821
G74	G1	1	0.1672	0.997977	0.510708
G76	G1	1	0.134157	0.991205	0.406997
G77	G1	1	0.07524	0.526317	0.121202
G78	G1	1	0.121667	0.796542	0.296617
G85	G1	1	0.079877	0.698602	0.170792
G88	G1	-1	-0.091148	0.617814	-0.172353
G89	G1	1	0.084804	0.62568	0.162399
G93	G1	1	0.159829	0.998822	0.488607
G96	G1	1	0.070889	0.644185	0.139766
G97	G1	1	0.136461	0.935676	0.390796
G98	G1	1	0.09265	0.833843	0.236454
G100	G1	-1	-0.062392	0.552216	-0.105451
G6	G2	-1	-0.093847	0.585255	-0.168105
G7	G2	1	0.12643	0.989524	0.382906
G10	G2	1	0.088738	0.739557	0.200863
G12	G2	1	0.104097	0.847282	0.26995
G17	G2	-1	-0.121639	0.934916	-0.348065
G18	G2	1	0.063534	0.52516	0.10212
G19	G2	-1	-0.15044	0.926577	-0.426638
G20	G2	1	0.083241	0.522001	0.132992
G23	G2	1	0.112419	0.892468	0.307077
G26	G2	1	0.09252	0.862141	0.244135
G28	G2	1	0.083289	0.65096	0.165942
G33	G2	-1	-0.09193	0.648349	-0.182423
G35	G2	1	0.089248	0.844875	0.230786
G39	G2	1	0.098175	0.690137	0.207373
G40	G2	-1	-0.127389	0.985199	-0.384124
G42	G2	1	0.060345	0.504587	0.093194
G51	G2	1	0.121091	0.976448	0.361889
G57	G2	1	0.087247	0.719166	0.192042
G59	G2	1	0.092291	0.616626	0.174179
G60	G2	1	0.197394	0.999574	0.603899
G61	G2	1	0.123198	0.817687	0.308323
G64	G2	1	0.069626	0.551585	0.117544
G65	G2	1	0.083179	0.70612	0.179766
G71	G2	1	0.107503	0.853041	0.280677
G76	G2	-1	-0.110207	0.940281	-0.317162
G85	G2	1	0.09642	0.847167	0.250006
G90	G2	-1	-0.086839	0.790976	-0.21023
G91	G2	1	0.070492	0.639269	0.137924
G94	G2	1	0.105726	0.87555	0.283321
G98	G2	1	0.076653	0.706474	0.165746
G100	G2	-1	-0.090136	0.845275	-0.23319
G3	G3	1	0.110595	0.85983	0.291046
G9	G3	1	0.173443	0.95352	0.506175
G10	G3	1	0.18101	0.998022	0.552914
G12	G3	1	0.1139	0.826787	0.288226
G13	G3	1	0.130386	0.729496	0.291119
G30	G3	-1	-0.131425	0.952804	-0.383264
G33	G3	1	0.174496	0.971986	0.519113
G34	G3	-1	-0.1201	0.772663	-0.28402
G43	G3	-1	-0.086053	0.728479	-0.191865
G44	G3	-1	-0.079056	0.617706	-0.149462
G45	G3	-1	-0.120108	0.956714	-0.351697
G46	G3	1	0.172965	0.999555	0.529152
G50	G3	1	0.078744	0.502795	0.121178
G51	G3	-1	-0.160226	0.997549	-0.489196
G52	G3	1	0.149428	0.989097	0.452362
G53	G3	1	0.139923	0.9448	0.404616
G55	G3	1	0.08629	0.63943	0.168877
G58	G3	1	0.094566	0.651255	0.188495
G63	G3	-1	-0.060987	0.536601	-0.100162
G67	G3	-1	-0.08198	0.623409	-0.156421
G74	G3	-1	-0.081892	0.571964	-0.14336
G77	G3	1	0.177142	0.995091	0.53951
G79	G3	1	0.195949	0.997769	0.598397
G80	G3	1	0.093322	0.548287	0.156607
G85	G3	1	0.130055	0.947203	0.377038
G87	G3	-1	-0.095469	0.617399	-0.180403
G92	G3	1	0.10539	0.780025	0.251607
G94	G3	1	0.14614	0.966854	0.43246
G95	G3	1	0.185277	0.998093	0.565988
G96	G3	1	0.20177	0.999964	0.617527
G99	G3	-1	-0.075561	0.65566	-0.151632
G100	G3	1	0.070845	0.537655	0.116581
G5	G4	-1	-0.097381	0.826479	-0.246332
G7	G4	1	0.149058	0.994769	0.45383
G9	G4	1	0.098265	0.568582	0.171005
G17	G4	1	0.121622	0.891832	0.331979
G27	G4	1	0.087409	0.684495	0.183124
G29	G4	1	0.145894	0.967239	0.431903
G30	G4	1	0.120384	0.906402	0.333969
G34	G4	-1	-0.109304	0.68557	-0.229353
G35	G4	1	0.084234	0.722603	0.186295
G36	G4	1	0.14637	0.996779	0.446547
G37	G4	1	0.111159	0.88267	0.300302
G40	G4	-1	-0.085394	0.740592	-0.193563
G43	G4	1	0.084341	0.690726	0.178303
G48	G4	-1	-0.095482	0.749514	-0.219036
G50	G4	-1	-0.10385	0.699759	-0.222417
G52	G4	-1	-0.067659	0.544018	-0.112655
G53	G4	1	0.145725	0.969641	0.432476
G55	G4	-1	-0.115795	0.891257	-0.31587
G58	G4	1	0.1123	0.796101	0.27363
G59	G4	1	0.096219	0.583431	0.171817
G60	G4	-1	-0.077214	0.511735	-0.120936
G65	G4	1	0.133119	0.948795	0.386571
G67	G4	-1	-0.083869	0.606808	-0.155764
G68	G4	1	0.069944	0.510001	0.109178
G69	G4	-1	-0.198152	0.999316	-0.606062
G74	G4	1	0.136092	0.95125	0.396225
G75	G4	-1	-0.096478	0.743027	-0.219405
G79	G4	1	0.100317	0.656677	0.201624
G80	G4	1	0.18997	0.985176	0.572815
G81	G4	1	0.182533	0.997754	0.557417
G82	G4	-1	-0.084141	0.506358	-0.1304
G85	G4	1	0.159734	0.995255	0.486573
G92	G4	1	0.212484	0.999901	0.650278
G97	G4	-1	-0.113207	0.770707	-0.267041
G98	G4	1	0.145268	0.987721	0.439157
