Parent - Child Weight Probability Score
G1 -> G1 0.258067 0.999991 0.834634
G3 -| G1 -0.115158 0.751954 -0.280062
G10 -| G1 -0.162802 0.939330 -0.494592
G12 -> G1 0.119029 0.759431 0.292354
G16 -> G1 0.152151 0.812314 0.399729
G20 -| G1 -0.176564 0.993086 -0.567097
G22 -> G1 0.121500 0.657960 0.258550
G30 -> G1 0.127774 0.855363 0.353478
G32 -| G1 -0.131932 0.918683 -0.391997
G34 -> G1 0.151815 0.950597 0.466744
G35 -> G1 0.148620 0.892479 0.428985
G38 -| G1 -0.111609 0.726819 -0.262358
G40 -> G1 0.135337 0.758974 0.332209
G41 -| G1 -0.247654 0.999187 -0.800315
G43 -| G1 -0.104547 0.596133 -0.201568
G44 -| G1 -0.153922 0.966006 -0.480893
G49 -| G1 -0.176279 0.975634 -0.556232
G50 -> G1 0.184129 0.991154 0.590245
G52 -> G1 0.229967 0.999860 0.743658
G53 -| G1 -0.102204 0.502847 -0.166215
G55 -> G1 0.192194 0.992362 0.616847
G57 -| G1 -0.199340 0.988704 -0.637425
G58 -> G1 0.169403 0.961722 0.526912
G59 -> G1 0.104055 0.665265 0.223885
G60 -> G1 0.140582 0.904426 0.411217
G68 -| G1 -0.143441 0.778304 -0.361070
G69 -| G1 -0.071288 0.507244 -0.116951
G75 -> G1 0.254649 0.999228 0.822953
G76 -| G1 -0.169704 0.916298 -0.502918
G77 -| G1 -0.139554 0.771026 -0.348001
G78 -| G1 -0.099352 0.658011 -0.211435
G79 -> G1 0.108759 0.669939 0.235652
G83 -> G1 0.160876 0.936607 0.487324
G86 -> G1 0.202653 0.998668 0.654549
G90 -> G1 0.094170 0.564240 0.171848
G98 -| G1 -0.144620 0.949239 -0.443988
G99 -> G1 0.145225 0.926991 0.435397
G100 -> G1 0.170809 0.984934 0.544111
G3 -> G2 0.164717 0.989089 0.526916
G4 -| G2 -0.108663 0.716676 -0.251867
G6 -| G2 -0.179245 0.991322 -0.574686
G8 -> G2 0.142073 0.882556 0.405528
G10 -> G2 0.149615 0.931859 0.450915
G11 -> G2 0.096830 0.704396 0.220594
G13 -> G2 0.120646 0.854387 0.333377
G14 -> G2 0.085846 0.516056 0.143280
G15 -| G2 -0.077624 0.538398 -0.135166
G16 -| G2 -0.209077 0.993718 -0.671951
G17 -> G2 0.112479 0.727566 0.264675
G21 -> G2 0.201848 0.993989 0.648896
G31 -| G2 -0.090593 0.613949 -0.179884
G36 -| G2 -0.113226 0.711982 -0.260724
G38 -| G2 -0.095165 0.655545 -0.201765
G39 -| G2 -0.177669 0.990422 -0.569115
G40 -| G2 -0.105310 0.636506 -0.216791
G43 -> G2 0.190265 0.979574 0.602786
G44 -> G2 0.138031 0.955714 0.426651
G49 -> G2 0.110996 0.753527 0.270505
G52 -| G2 -0.120003 0.886853 -0.344201
G53 -> G2 0.200150 0.991387 0.641751
G54 -> G2 0.082705 0.514355 0.137583
G57 -> G2 0.090420 0.579462 0.169456
G59 -> G2 0.096943 0.703023 0.220422
G60 -> G2 0.143295 0.957593 0.443793
G62 -| G2 -0.166777 0.992781 -0.535496
G63 -| G2 -0.105917 0.685767 -0.234915
G67 -> G2 0.125522 0.778791 0.316162
G69 -> G2 0.097888 0.748391 0.236933
G75 -| G2 -0.151400 0.928892 -0.454839
G76 -> G2 0.095667 0.534046 0.165237
G91 -> G2 0.116344 0.776994 0.292367
G92 -> G2 0.080775 0.500161 0.130664
G94 -> G2 0.140153 0.955914 0.433302
G95 -| G2 -0.106412 0.803260 -0.276450
G98 -> G2 0.118758 0.873512 0.335505
G99 -| G2 -0.092703 0.693909 -0.208049
G100 -| G2 -0.145551 0.975348 -0.459138
G7 -| G3 -0.135244 0.832487 -0.364137
G12 -> G3 0.261927 0.999991 0.847118
G15 -> G3 0.149503 0.922114 0.445865
G20 -> G3 0.121071 0.793765 0.310814
G21 -| G3 -0.126534 0.701151 -0.286938
G23 -> G3 0.096794 0.586994 0.183759
G24 -| G3 -0.100141 0.617024 -0.199839
G31 -> G3 0.094139 0.535569 0.163062
G32 -| G3 -0.087650 0.642674 -0.182183
G34 -> G3 0.161292 0.964221 0.502988
G35 -| G3 -0.122227 0.767801 -0.303517
G36 -> G3 0.145339 0.815920 0.383529
G39 -> G3 0.131060 0.791023 0.335294
G41 -> G3 0.168591 0.881598 0.480698
G48 -> G3 0.185332 0.978238 0.586358
G56 -| G3 -0.150662 0.820871 -0.399988
G61 -> G3 0.129030 0.819574 0.342016
G63 -> G3 0.115685 0.651404 0.243722
G64 -| G3 -0.192753 0.948737 -0.591445
