Parent - Child Weight Probability Score
CEBPB -| BCL6 -0.076163 0.999396 -0.148989
ELK1 -| BCL6 -0.042358 0.784965 -0.065081
NFATC2 -| BCL6 -0.080464 0.999316 -0.157389
RREB1 -| BCL6 -0.039665 0.995137 -0.077262
RUNX1 -| BCL6 -0.118733 1.000000 -0.232403
SP3 -| BCL6 -0.063530 0.999993 -0.124350
SPI1 -| BCL6 -0.024452 0.984193 -0.047105
TRIM28 -| BCL6 -0.127334 1.000000 -0.249240
BCL6 -| CBFB -0.036899 0.803748 -0.058051
CBFB -> CBFB 0.167743 1.000000 0.328335
CEBPB -| CBFB -0.029781 0.563583 -0.032853
CEBPD -> CBFB 0.198069 1.000000 0.387694
FLI1 -| CBFB -0.026506 0.730831 -0.037917
FOSB -> CBFB 0.080604 0.505801 0.079801
HOXA13 -| CBFB -0.033808 0.526840 -0.034864
JUN -| CBFB -0.058779 0.990497 -0.113958
LMO2 -| CBFB -0.041298 0.981450 -0.079337
MYB -> CBFB 0.127606 0.998655 0.249436
NFYC -> CBFB 0.139051 0.999050 0.271916
PPARD -| CBFB -0.024763 0.714138 -0.034614
PRDM1 -> CBFB 0.113663 0.960588 0.213711
RUNX1 -> CBFB 0.113410 0.791829 0.175774
SMAD3 -| CBFB -0.101860 1.000000 -0.199377
SMAD4 -> CBFB 0.173416 1.000000 0.339439
SNAI1 -| CBFB -0.036584 0.636800 -0.045600
SP3 -| CBFB -0.057408 0.999657 -0.112330
SPI1 -> CBFB 0.143139 0.999606 0.280065
STAT1 -> CBFB 0.139530 0.999754 0.273044
TCFL5 -> CBFB 0.111814 0.974756 0.213337
TRIM28 -> CBFB 0.164015 1.000000 0.321038
CBFB -| CEBPB -0.150252 1.000000 -0.294098
EGR2 -| CEBPB -0.080398 0.998447 -0.157125
ETS1 -| CEBPB -0.044579 0.734872 -0.064124
FLI1 -> CEBPB 0.389752 0.946798 0.722301
MYB -| CEBPB -0.126631 0.999926 -0.247844
MYEF2 -| CEBPB -0.055976 0.844868 -0.092568
RREB1 -| CEBPB -0.070099 0.997949 -0.136928
RUNX1 -| CEBPB -0.052929 0.992305 -0.102804
TCF3 -| CEBPB -0.041616 0.786770 -0.064088
VDR -| CEBPB -0.050110 0.739080 -0.072491
BCL6 -| CEBPD -0.036858 0.794563 -0.057323
CEBPD -> CEBPD 0.201254 1.000000 0.393929
FOSB -> CEBPD 0.097089 0.730510 0.138826
JUN -| CEBPD -0.059145 0.988164 -0.114397
KLF10 -| CEBPD -0.030980 0.705596 -0.042787
MYB -> CEBPD 0.159009 0.999996 0.311237
RUNX1 -> CEBPD 0.142626 0.994245 0.277565
SMAD3 -| CEBPD -0.071714 0.998979 -0.140228
SMAD4 -> CEBPD 0.128381 0.982761 0.246956
SNAI1 -| CEBPD -0.060406 0.987981 -0.116815
SPI1 -> CEBPD 0.138644 0.969341 0.263057
STAT1 -> CEBPD 0.183597 1.000000 0.359367
TRIM28 -> CEBPD 0.192578 1.000000 0.376945
CBFB -> EGR2 0.179649 0.910948 0.320324
CEBPB -| EGR2 -0.149466 0.888141 -0.259834
EGR2 -> EGR2 0.502251 1.000000 0.983089
FLI1 -| EGR2 -0.187584 0.992946 -0.364580
FOS -> EGR2 0.279418 0.999997 0.546921
HOXA10 -| EGR2 -0.119535 0.581528 -0.136063
LMO2 -> EGR2 0.222039 0.997352 0.433462
MAFB -> EGR2 0.340328 1.000000 0.666146
NFATC2 -| EGR2 -0.139897 0.810626 -0.221974
SMAD4 -| EGR2 -0.100400 0.670116 -0.131691
SP3 -| EGR2 -0.260328 0.999987 -0.509550
SPI1 -> EGR2 0.143226 0.698025 0.195688
STAT1 -> EGR2 0.344267 1.000000 0.673857
TRIM28 -| EGR2 -0.352280 1.000000 -0.689541
VDR -> EGR2 0.135829 0.505469 0.134388
BCL6 -| ELK1 -0.063490 0.999134 -0.124165
CEBPB -| ELK1 -0.023498 0.776423 -0.035711
EGR2 -| ELK1 -0.086403 0.999991 -0.169122
ETS1 -| ELK1 -0.050609 0.982731 -0.097349
KLF13 -| ELK1 -0.019153 0.882417 -0.033081
LMO2 -| ELK1 -0.040157 0.999398 -0.078554
MYB -| ELK1 -0.133676 0.999999 -0.261653
SNAI3 -| ELK1 -0.024856 0.570576 -0.027760
SP3 -| ELK1 -0.017002 0.971286 -0.032324
CEBPD -| ETS1 -0.029481 0.777909 -0.044889
KLF10 -| ETS1 -0.120756 0.999999 -0.236363
MYB -| ETS1 -0.195992 1.000000 -0.383629
MYEF2 -| ETS1 -0.067071 0.955541 -0.125447
NFATC2 -| ETS1 -0.081363 0.995844 -0.158595
RUNX1 -| ETS1 -0.137744 1.000000 -0.269616
SMAD4 -| ETS1 -0.032753 0.901413 -0.057789
SP3 -| ETS1 -0.106813 0.999999 -0.209072
SPI1 -| ETS1 -0.060028 0.997675 -0.117224
EGR2 -| FLI1 -0.091148 1.000000 -0.178411
FOSB -> FLI1 0.086037 0.724232 0.121966
JUN -> FLI1 0.091897 0.612246 0.110128
KLF10 -> FLI1 0.108314 0.867398 0.183897
KLF13 -> FLI1 0.122344 0.995790 0.238465
MYB -| FLI1 -0.037303 0.749316 -0.054712
NFYA -> FLI1 0.146170 0.999986 0.286104
NFYC -> FLI1 0.149601 0.999996 0.292822
PPARD -> FLI1 0.104600 0.824271 0.168762
RUNX1 -| FLI1 -0.037631 0.938677 -0.069142
SMAD4 -> FLI1 0.124773 0.998641 0.243894
SPI1 -> FLI1 0.105232 0.717423 0.147773
STAT1 -> FLI1 0.172796 1.000000 0.338225
TFPT -> FLI1 0.123070 0.998862 0.240618
BCL6 -| FOS -0.059999 0.992223 -0.116527
FLI1 -| FOS -0.091450 0.999987 -0.179000
MYB -| FOS -0.101006 0.999741 -0.197654
RUNX1 -| FOS -0.073634 0.999933 -0.144118
BCL6 -| FOSB -0.135052 1.000000 -0.264346
CBFB -> FOSB 0.149279 0.916354 0.267754
CEBPD -> FOSB 0.194727 0.999750 0.381056
FLI1 -| FOSB -0.030156 0.534607 -0.031556
FOSB -> FOSB 0.218431 1.000000 0.427549
HOXA10 -| FOSB -0.077901 0.960994 -0.146532
KLF10 -> FOSB 0.236058 1.000000 0.462052
KLF13 -> FOSB 0.214877 0.999996 0.420591
MYB -| FOSB -0.114860 0.999253 -0.224654
PPARD -| FOSB -0.065764 0.979138 -0.126039
PRDM1 -| FOSB -0.120913 0.999988 -0.236669
SNAI1 -| FOSB -0.055938 0.677397 -0.074169
SP3 -| FOSB -0.046279 0.930798 -0.084317
VDR -| FOSB -0.059560 0.710250 -0.082802
EGR2 -| HOXA10 -0.090460 0.999756 -0.177021
ETS1 -| HOXA10 -0.089201 0.991421 -0.173102
FOS -| HOXA10 -0.124903 0.999997 -0.244480
HOXA10 -| HOXA10 -0.041045 0.650072 -0.052226
NFATC1 -| HOXA10 -0.065061 0.844574 -0.107556
NFE2L1 -| HOXA10 -0.053908 0.900800 -0.095051
NFYA -| HOXA10 -0.062392 0.999052 -0.122008
SPIB -| HOXA10 -0.056181 0.694052 -0.076323
TFPT -| HOXA10 -0.121578 0.999894 -0.237948
CEBPD -> HOXA13 0.156252 0.959547 0.293471
ETS1 -| HOXA13 -0.202222 0.994804 -0.393766
FLI1 -> HOXA13 0.196854 0.997845 0.384486
FOS -| HOXA13 -0.221065 0.999712 -0.432580
LMO2 -| HOXA13 -0.120505 0.765545 -0.180571
MYB -| HOXA13 -0.156763 0.914697 -0.280669
NFE2L1 -> HOXA13 0.135473 0.772787 0.204919
NFYC -| HOXA13 -0.140919 0.907413 -0.250291
PPARD -> HOXA13 0.110739 0.650241 0.140945
PRDM1 -> HOXA13 0.119371 0.577396 0.134910
RREB1 -> HOXA13 0.149161 0.945076 0.275927
RUNX1 -> HOXA13 0.328103 1.000000 0.642218
SMAD4 -> HOXA13 0.241144 0.999974 0.471995
SP3 -| HOXA13 -0.308684 1.000000 -0.604208
SPI1 -> HOXA13 0.287866 1.000000 0.563460
STAT1 -> HOXA13 0.203641 0.999414 0.398366
TRIM28 -> HOXA13 0.450534 1.000000 0.881860
CBFB -| IRF8 -0.178900 0.983209 -0.344293
FLI1 -| IRF8 -0.099174 0.525557 -0.102021
FOS -| IRF8 -0.182299 0.991266 -0.353709
FOSB -> IRF8 0.147671 0.764505 0.220978
IRF8 -> IRF8 0.128125 0.690147 0.173080
KLF10 -> IRF8 0.165297 0.973238 0.314887
KLF13 -> IRF8 0.136679 0.838026 0.224198
LMO2 -> IRF8 0.138468 0.908335 0.246188
MYB -> IRF8 0.291583 1.000000 0.570735
NFYA -> IRF8 0.226034 0.999955 0.442412
NFYC -| IRF8 -0.163787 0.978266 -0.313624
RREB1 -> IRF8 0.164792 0.981931 0.316730
RUNX1 -> IRF8 0.333574 1.000000 0.652926
SMAD4 -> IRF8 0.254418 0.999990 0.497985
SP3 -| IRF8 -0.333627 1.000000 -0.653030
SPI1 -> IRF8 0.320725 1.000000 0.627776
TCF3 -> IRF8 0.142671 0.844145 0.235735
TRIM28 -> IRF8 0.386300 1.000000 0.756131
CBFB -| JUN -0.133207 0.999999 -0.260735
CEBPD -| JUN -0.055831 0.996893 -0.108942
FOSB -| JUN -0.068180 0.908587 -0.121253
HOXA13 -| JUN -0.044933 0.743114 -0.065358
KLF10 -| JUN -0.054451 0.988970 -0.105405
MYB -| JUN -0.156569 0.999999 -0.306463
NFATC1 -| JUN -0.046850 0.714774 -0.065547
NFATC2 -| JUN -0.040069 0.807579 -0.063338
RREB1 -| JUN -0.112532 0.999999 -0.220266
RUNX1 -| JUN -0.059916 0.999469 -0.117216
SPI1 -| JUN -0.081758 0.999977 -0.160028
SPIB -| JUN -0.081682 0.980938 -0.156834
TCFL5 -| JUN -0.038380 0.791339 -0.059449
TRIM28 -| JUN -0.093507 0.999999 -0.183028
BCL6 -| KLF10 -0.125028 0.999864 -0.244692
FLI1 -> KLF10 0.220111 0.850097 0.366253
FOSB -> KLF10 0.256294 0.999934 0.501629
HOXA10 -| KLF10 -0.083263 0.913357 -0.148855
KLF10 -> KLF10 0.373754 1.000000 0.731573
LMO2 -| KLF10 -0.028078 0.521814 -0.028678
MYB -| KLF10 -0.174194 0.999977 -0.340954
NFYA -> KLF10 0.232698 0.698076 0.317956
PPARD -| KLF10 -0.171267 1.000000 -0.335232
RXRB -| KLF10 -0.074124 0.906182 -0.131476
SMAD3 -| KLF10 -0.052731 0.502608 -0.051876
SMAD4 -> KLF10 0.229820 0.960893 0.432250
TCF3 -| KLF10 -0.057850 0.706997 -0.080056
BCL6 -| KLF13 -0.065492 0.997705 -0.127898
CBFB -| KLF13 -0.066869 0.998325 -0.130669
ETS1 -| KLF13 -0.071287 0.993517 -0.138630
FOS -| KLF13 -0.026815 0.665998 -0.034956
HOXA13 -| KLF13 -0.037092 0.605651 -0.043971
MYB -| KLF13 -0.105150 0.999953 -0.205808
NFATC2 -| KLF13 -0.036700 0.723729 -0.051989
NFE2L1 -| KLF13 -0.029919 0.612942 -0.035895
RUNX1 -| KLF13 -0.041840 0.987875 -0.080903
SP3 -> KLF13 0.281771 0.999941 0.551497
STAT1 -> KLF13 0.386656 1.000000 0.756828
TCF3 -| KLF13 -0.050760 0.961588 -0.095540
VDR -| KLF13 -0.074209 0.994509 -0.144458
FOS -| LMO2 -0.037333 0.789088 -0.057662
KLF10 -| LMO2 -0.030215 0.633059 -0.037441
RXRB -| LMO2 -0.069959 0.996892 -0.136509
SMAD4 -> LMO2 0.214537 0.999999 0.419927
STAT1 -> LMO2 0.275626 1.000000 0.539502
TRIM28 -> LMO2 0.223138 1.000000 0.436763
CEBPB -| MAFB -0.054589 0.994863 -0.106302
FLI1 -| MAFB -0.060086 0.999920 -0.117601
FOSB -| MAFB -0.059880 0.965198 -0.113129
IRF8 -| MAFB -0.093410 0.999720 -0.182786
KLF10 -| MAFB -0.138943 1.000000 -0.271963
MYEF2 -| MAFB -0.074088 0.998204 -0.144756
NFATC2 -| MAFB -0.067084 0.997972 -0.131042
RREB1 -| MAFB -0.032428 0.992237 -0.062981
SNAI3 -| MAFB -0.029826 0.730728 -0.042660
SPIB -| MAFB -0.089216 0.998155 -0.174307
TRIM28 -| MAFB -0.088477 1.000000 -0.173181
BCL6 -| MYB -0.064299 0.997157 -0.125500
CEBPD -> MYB 0.192393 0.893325 0.336412
EGR2 -| MYB -0.047450 0.934853 -0.086827
ETS1 -| MYB -0.040644 0.723293 -0.057542
FLI1 -| MYB -0.031700 0.856986 -0.053174
FOS -| MYB -0.122087 1.000000 -0.238969
FOSB -> MYB 0.145059 0.702374 0.199428
JUN -| MYB -0.082865 0.999803 -0.162165
MYB -> MYB 0.252854 1.000000 0.494927
NFE2L1 -| MYB -0.051436 0.940397 -0.094679
NFYC -| MYB -0.057377 0.998307 -0.112118
RUNX1 -> MYB 0.239243 0.999378 0.467996
RXRB -| MYB -0.047141 0.926816 -0.085519
SMAD3 -| MYB -0.060360 0.968685 -0.114447
SMAD4 -> MYB 0.239041 0.999977 0.467881
SNAI1 -| MYB -0.100192 0.999995 -0.196112
SP3 -| MYB -0.074618 0.999976 -0.146052
TFPT -| MYB -0.095330 0.999912 -0.186579
TRIM28 -> MYB 0.362759 1.000000 0.710052
BCL6 -| MYEF2 -0.082122 0.998861 -0.160560
EGR2 -| MYEF2 -0.083874 0.997757 -0.163804
ETS1 -| MYEF2 -0.035443 0.564019 -0.039129
HOXA10 -| MYEF2 -0.114578 0.999430 -0.224142
HOXA13 -| MYEF2 -0.086237 0.977858 -0.165060
MAFB -| MYEF2 -0.096343 0.999786 -0.188539
MYB -| MYEF2 -0.082174 0.993587 -0.159814
PPARG -| MYEF2 -0.033926 0.623919 -0.041431
SMAD3 -| MYEF2 -0.103043 0.997781 -0.201246
SNAI3 -| MYEF2 -0.075679 0.965096 -0.142962
SPI1 -| MYEF2 -0.039091 0.958634 -0.073350
TFPT -| MYEF2 -0.079244 0.977585 -0.151632
VDR -| MYEF2 -0.101313 0.993196 -0.196957
BCL6 -| NFATC1 -0.085521 0.999751 -0.167354
CEBPB -| NFATC1 -0.093314 0.999778 -0.182610
ETS1 -| NFATC1 -0.057572 0.953633 -0.107464
FLI1 -| NFATC1 -0.022999 0.828254 -0.037286
HOXA10 -| NFATC1 -0.029668 0.575215 -0.033403
IRF8 -| NFATC1 -0.040835 0.716134 -0.057239
JUN -| NFATC1 -0.042701 0.853699 -0.071353
KLF10 -| NFATC1 -0.034516 0.886181 -0.059870
KLF13 -| NFATC1 -0.028147 0.856156 -0.047169
MYB -| NFATC1 -0.131716 0.999990 -0.257815
