Parent - Child Weight Probability Score
EGR2 -> BCL6 0.249091 0.713101 0.279900
ELK1 -| BCL6 -0.323362 0.634705 -0.323410
FOSB -| BCL6 -0.544204 0.999919 -0.857469
MYEF2 -| BCL6 -0.403645 0.952532 -0.605859
PPARD -> BCL6 0.357007 0.620675 0.349167
TRIM28 -| BCL6 -0.463223 0.755202 -0.551247
CBFB -> CBFB 0.188724 0.999342 0.297190
CEBPD -> CBFB 0.142136 0.951265 0.213058
JUN -| CBFB -0.090916 0.786240 -0.112639
LMO2 -| CBFB -0.073361 0.559752 -0.064707
MYB -> CBFB 0.214553 1.000000 0.338086
NFYA -| CBFB -0.083530 0.671513 -0.088387
TCFL5 -> CBFB 0.117582 0.908087 0.168253
FLI1 -> CEBPB 0.225407 0.568823 0.202040
MYB -> CEBPD 0.282753 0.999999 0.445552
EGR2 -> EGR2 0.585593 0.991145 0.914589
FLI1 -| EGR2 -0.655678 0.914633 -0.944996
FOS -> EGR2 0.397474 0.554847 0.347516
SP3 -| EGR2 -0.555252 0.784500 -0.686397
TCFL5 -| EGR2 -0.494312 0.588151 -0.458123
ELK1 -> ELK1 0.235689 0.980620 0.364193
SPIB -> ELK1 0.170407 0.599910 0.161089
VDR -> ELK1 0.216038 0.781824 0.266153
KLF10 -| ETS1 -0.188289 0.997625 -0.295995
NFATC1 -> ETS1 0.175197 0.523704 0.144579
RUNX1 -| ETS1 -0.252039 0.998738 -0.396654
SMAD4 -| ETS1 -0.227345 0.829789 -0.297266
SNAI1 -> ETS1 0.157997 0.707090 0.176041
VDR -> ETS1 0.179554 0.597459 0.169043
CBFB -| FLI1 -0.169679 0.983012 -0.262833
EGR2 -| FLI1 -0.092461 0.996741 -0.145222
FLI1 -| FOS -0.257610 0.501893 -0.203735
ETS1 -> FOSB 0.228091 0.851687 0.306112
FOSB -> FOSB 0.342464 0.999957 0.539621
MYEF2 -> FOSB 0.162891 0.566265 0.145348
PRDM1 -| FOSB -0.155435 0.699862 -0.171417
SMAD4 -| FOSB -0.225614 0.751485 -0.267165
TRIM28 -| FOSB -0.291685 0.990606 -0.455310
MYB -> HOXA10 0.217633 0.805868 0.276364
MYEF2 -> HOXA10 0.177711 0.753144 0.210904
TCFL5 -> HOXA10 0.176948 0.548009 0.152801
EGR2 -| HOXA13 -0.149464 0.684518 -0.161218
SP3 -| HOXA13 -0.268348 0.640780 -0.270957
IRF8 -> IRF8 0.206341 0.568559 0.184865
MYB -> IRF8 0.413900 0.998855 0.651464
SMAD4 -> IRF8 0.280219 0.510201 0.225284
CBFB -| JUN -0.325331 0.809936 -0.415211
JUN -> JUN 0.274018 0.974751 0.420887
SPI1 -| JUN -0.214992 0.745960 -0.252715
TFPT -> JUN 0.289770 0.873798 0.398986
TRIM28 -| JUN -0.310536 0.777968 -0.380686
FLI1 -> KLF10 0.361649 0.516113 0.294120
KLF10 -> KLF10 0.634611 1.000000 1.000000
MYB -| KLF10 -0.481208 0.980386 -0.743400
RREB1 -> KLF10 0.277123 0.603006 0.263322
TCFL5 -| KLF10 -0.321802 0.600288 -0.304397
CBFB -| KLF13 -0.254144 0.937028 -0.375254
ETS1 -| KLF13 -0.200057 0.907268 -0.286011
SP3 -> KLF13 0.282666 0.988382 0.440241
VDR -| KLF13 -0.244470 0.996928 -0.384045
BCL6 -> LMO2 0.194649 0.794651 0.243737
FOSB -| LMO2 -0.206573 0.507297 -0.165131
TRIM28 -> LMO2 0.520738 0.999974 0.820541
VDR -| LMO2 -0.295676 0.893611 -0.416348
EGR2 -> MAFB 0.325047 0.975996 0.499904
IRF8 -| MAFB -0.360232 0.660175 -0.374743
MAFB -> MAFB 0.295033 0.712840 0.331402
TRIM28 -| MAFB -0.431247 0.572990 -0.389373
IRF8 -> MYB 0.120187 0.664958 0.125935
MYB -> MYB 0.317414 1.000000 0.500171
SMAD4 -> MYB 0.167144 0.608709 0.160322
SPIB -> MYB 0.119849 0.721122 0.136187
TCFL5 -> MYB 0.173873 0.946487 0.259321
CBFB -> NFATC1 0.219871 0.606428 0.210107
KLF10 -| NFATC1 -0.163237 0.957231 -0.246223
LMO2 -| NFATC1 -0.157622 0.643639 -0.159865
NFATC1 -> NFATC1 0.181518 0.687411 0.196621
NFYA -| NFATC1 -0.165590 0.623440 -0.162675
PPARD -| NFATC1 -0.178493 0.566644 -0.159376
TRIM28 -| NFATC1 -0.350215 0.998581 -0.551075
VDR -> NFATC1 0.174147 0.506266 0.138927
FLI1 -> NFATC2 0.230280 0.525522 0.190695
RUNX1 -> NFATC2 0.177276 0.577519 0.161327
SMAD4 -| NFATC2 -0.256433 0.608605 -0.245924
KLF13 -| NFE2L1 -0.222560 0.966515 -0.338959
FLI1 -> NFYA 0.243342 0.528060 0.202484
KLF10 -> NFYA 0.223657 0.999772 0.352352
NFYA -> NFYA 0.331777 0.999998 0.522803
NFYC -> NFYA 0.188198 0.542631 0.160920
RUNX1 -> NFYA 0.194666 0.602210 0.184727
TRIM28 -> NFYA 0.376479 0.996589 0.591219
FOSB -| NFYC -0.279464 0.986676 -0.434503
TRIM28 -> NFYC 0.256663 0.875493 0.354086
SMAD4 -| PPARD -0.305171 0.962628 -0.462907
CBFB -> PPARG 0.417237 0.571574 0.375792
FOSB -| PPARG -0.372328 0.827583 -0.485545
MYB -| PPARG -0.483997 0.911835 -0.695426
NFYC -> PPARG 0.366632 0.747966 0.432120
SPIB -| PPARG -0.325249 0.675998 -0.346460
IRF8 -| PRDM1 -0.214274 0.799774 -0.270041
KLF10 -| PRDM1 -0.270572 1.000000 -0.426359
STAT1 -> PRDM1 0.295957 0.815635 0.380379
TRIM28 -| PRDM1 -0.259675 0.636813 -0.260576
ETS1 -| RREB1 -0.293274 0.962278 -0.444699
JUN -| RREB1 -0.193605 0.596519 -0.181984
KLF10 -> RREB1 0.214557 0.993926 0.336038
RUNX1 -> RREB1 0.263350 0.948687 0.393684
SNAI1 -| RREB1 -0.263398 0.985869 -0.409190
RREB1 -> RUNX1 0.233535 0.797629 0.293525
RUNX1 -> RUNX1 0.289186 0.979341 0.446276
TFPT -| RUNX1 -0.313188 0.994331 -0.490715
TRIM28 -> RUNX1 0.348581 0.993836 0.545898
VDR -> RXRB 0.142994 0.546513 0.123144
SMAD3 -> SMAD3 0.209251 0.863205 0.284626
TCFL5 -> SMAD3 0.181141 0.512145 0.146185
MYB -> SMAD4 0.172954 0.999930 0.272517
FOSB -> SNAI1 0.233220 0.820034 0.301363
RUNX1 -| SNAI1 -0.260288 0.921889 -0.378117
SP3 -> SNAI1 0.279614 0.630272 0.277703
FLI1 -> SNAI3 0.576349 0.989705 0.898843
TFPT -> SNAI3 0.359298 0.751795 0.425644
CEBPD -> SP3 0.163190 0.911544 0.234403
ETS1 -| SP3 -0.147399 0.901244 -0.209329
SP3 -> SP3 0.197085 0.985791 0.306147
TRIM28 -> SP3 0.139938 0.651488 0.143660
PPARD -> SPI1 0.250433 0.526310 0.207695
MYB -> SPIB 0.289940 0.577993 0.264073
TCFL5 -> SPIB 0.338211 0.699791 0.372949
TRIM28 -> STAT1 0.169214 0.859817 0.229264
TRIM28 -> TCF3 0.177378 0.502827 0.140544
MYB -> TCFL5 0.159096 0.567484 0.142267
TCFL5 -> TCFL5 0.220356 0.979017 0.339944
SP3 -> TFPT 0.239284 0.986184 0.371846
TFPT -> TFPT 0.233304 0.998254 0.366991
TRIM28 -| TFPT -0.192266 0.810095 -0.245432
CEBPD -> TRIM28 0.136538 0.581886 0.125194
KLF10 -> TRIM28 0.093746 0.820838 0.121256
RREB1 -> TRIM28 0.133946 0.957686 0.202136
TRIM28 -> TRIM28 0.219684 0.998318 0.345589
CEBPB -> UHRF1 0.306799 0.682590 0.329994
KLF10 -> UHRF1 0.268434 0.976940 0.413236
RREB1 -> UHRF1 0.305479 0.881691 0.424415
SMAD4 -> UHRF1 0.442711 0.784875 0.547537
TRIM28 -> UHRF1 0.568449 0.999432 0.895235
ETS1 -> VDR 0.148081 0.671897 0.156782
FLI1 -| VDR -0.179125 0.618420 -0.174555
KLF10 -| VDR -0.120306 0.910602 -0.172627
MYB -> VDR 0.215098 0.984562 0.333711
NFYA -| VDR -0.145170 0.852834 -0.195090
NFYC -| VDR -0.167930 0.941723 -0.249198
TCFL5 -> VDR 0.184375 0.920684 0.267489
