Parent - Child Weight Probability Score
G2 -| G1 -0.050104 0.706359 -0.104647
G3 -> G1 0.035783 0.662274 0.070072
G4 -> G1 0.033366 0.572730 0.056505
G5 -> G1 0.039944 0.716342 0.084605
G8 -> G1 0.051467 0.806309 0.122703
G10 -| G1 -0.101416 0.991548 -0.297336
G12 -| G1 -0.084403 0.959464 -0.239450
G13 -> G1 0.015785 0.508214 0.023721
G17 -> G1 0.047981 0.718197 0.101893
G22 -> G1 0.027382 0.518328 0.041967
G23 -> G1 0.055234 0.753959 0.123135
G24 -> G1 0.050416 0.705317 0.105142
G28 -| G1 -0.046299 0.663197 -0.090791
G31 -| G1 -0.119556 0.988302 -0.349372
G32 -> G1 0.011042 0.500911 0.016354
G33 -> G1 0.041761 0.623951 0.077047
G35 -> G1 0.043371 0.768835 0.098596
G37 -| G1 -0.049254 0.742502 -0.108135
G39 -> G1 0.106525 0.970176 0.305584
G42 -> G1 0.083164 0.988715 0.243127
G44 -| G1 -0.118673 0.998838 -0.350489
G45 -| G1 -0.060490 0.915605 -0.163763
G46 -> G1 0.061017 0.889579 0.160496
G49 -| G1 -0.061383 0.837181 -0.151949
G50 -| G1 -0.035127 0.559853 -0.058149
G51 -| G1 -0.091630 0.989967 -0.268218
G56 -> G1 0.077718 0.940919 0.216222
G58 -> G1 0.039835 0.624975 0.073613
G59 -> G1 0.048088 0.631370 0.089773
G60 -> G1 0.060337 0.785546 0.140148
G61 -> G1 0.093979 0.856006 0.237868
G63 -| G1 -0.041979 0.715539 -0.088816
G65 -> G1 0.084115 0.971713 0.241680
G70 -> G1 0.071902 0.713272 0.151644
G71 -> G1 0.158115 0.999988 0.467516
G74 -> G1 0.058628 0.791051 0.137131
G76 -> G1 0.068790 0.935607 0.190305
G77 -> G1 0.067256 0.829773 0.165013
G78 -> G1 0.068792 0.745529 0.151645
G79 -> G1 0.056110 0.713805 0.118427
G80 -> G1 0.046190 0.577049 0.078811
G82 -| G1 -0.024245 0.508477 -0.036453
G83 -> G1 0.056911 0.885172 0.148953
G84 -| G1 -0.028923 0.518547 -0.044346
G85 -> G1 0.054662 0.861980 0.139320
G89 -> G1 0.086436 0.959084 0.245121
G90 -| G1 -0.059392 0.882437 -0.154966
G93 -> G1 0.153926 0.999998 0.455134
G95 -> G1 0.028601 0.545556 0.046137
G96 -| G1 -0.031749 0.626075 -0.058774
G98 -> G1 0.047511 0.789211 0.110870
G2 -| G2 -0.022677 0.532171 -0.035684
G3 -> G2 0.020566 0.538344 0.032737
G7 -> G2 0.062314 0.983487 0.181209
G8 -> G2 0.035478 0.708247 0.074297
G11 -> G2 0.014441 0.508002 0.021692
G12 -> G2 0.021605 0.502483 0.032100
G17 -> G2 0.026529 0.546135 0.042840
G20 -> G2 0.028053 0.534765 0.044358
G23 -> G2 0.059525 0.887236 0.156159
G24 -> G2 0.074563 0.975481 0.215065
G25 -> G2 0.026227 0.518895 0.040240
G26 -> G2 0.023910 0.537914 0.038029
G30 -> G2 0.057059 0.928781 0.156699
G35 -> G2 0.040983 0.845313 0.102435
G38 -> G2 0.018039 0.505547 0.026965
G42 -> G2 0.035173 0.713551 0.074209
G51 -> G2 0.040172 0.773254 0.091850
G52 -> G2 0.032816 0.703849 0.068296
G54 -> G2 0.022565 0.527788 0.035215
G57 -> G2 0.027455 0.523603 0.042506
G66 -> G2 0.026638 0.511924 0.040321
G68 -> G2 0.022362 0.528029 0.034913
G70 -> G2 0.074506 0.804355 0.177201
G76 -| G2 -0.035946 0.620766 -0.065978
G77 -> G2 0.034240 0.561562 0.056854
G79 -> G2 0.037513 0.607799 0.067417
G81 -> G2 0.033920 0.653207 0.065513
G83 -> G2 0.025991 0.565250 0.043440
G85 -> G2 0.024964 0.583158 0.043046
G91 -> G2 0.042225 0.838955 0.104747
G92 -> G2 0.020391 0.521163 0.031423
G93 -> G2 0.031687 0.681569 0.063858
G95 -> G2 0.020476 0.500085 0.030278
G96 -> G2 0.029581 0.677444 0.059253
G98 -> G2 0.040636 0.809428 0.097257
G99 -> G2 0.039550 0.770899 0.090152
G5 -> G3 0.037787 0.712169 0.079570
G6 -> G3 0.020105 0.515823 0.030665
G7 -> G3 0.024666 0.519855 0.037914
G8 -> G3 0.057333 0.878743 0.148967
G9 -> G3 0.035775 0.540072 0.057130
G17 -> G3 0.081338 0.962538 0.231493
G19 -> G3 0.028857 0.520504 0.044412
G21 -> G3 0.154526 0.999989 0.456903
G22 -> G3 0.039922 0.624425 0.073710
G23 -> G3 0.027764 0.509642 0.041838
G25 -| G3 -0.028322 0.509867 -0.042699
G26 -> G3 0.027575 0.556215 0.045350
G28 -> G3 0.035700 0.570879 0.060261
G29 -> G3 0.086397 0.978656 0.250011
G30 -> G3 0.110175 0.998992 0.325442
G31 -> G3 0.055731 0.718120 0.118337
G33 -> G3 0.058382 0.755911 0.130490
G35 -> G3 0.066280 0.965113 0.189144
G38 -> G3 0.046629 0.625425 0.086231
G40 -> G3 0.051898 0.894659 0.137288
G41 -> G3 0.066979 0.782691 0.155008
G44 -| G3 -0.036972 0.624824 -0.068306
G45 -> G3 0.034313 0.667678 0.067741
G46 -> G3 0.076686 0.988026 0.224033
G48 -> G3 0.044473 0.768593 0.101069
G49 -> G3 0.051951 0.781893 0.120108
G51 -| G3 -0.060441 0.891617 -0.159346
G53 -> G3 0.036332 0.598733 0.064321
G55 -> G3 0.044557 0.778624 0.102583
G58 -> G3 0.032888 0.573056 0.055727
G59 -> G3 0.032088 0.541015 0.051331
G62 -| G3 -0.046059 0.683022 -0.093020
G65 -> G3 0.040590 0.664192 0.079715
G67 -> G3 0.024593 0.522723 0.038011
G68 -> G3 0.076400 0.968591 0.218808
G75 -> G3 0.031121 0.550240 0.050633
G77 -> G3 0.034185 0.509785 0.051529
G79 -> G3 0.048806 0.665324 0.096013
G81 -> G3 0.035482 0.616575 0.064688
G82 -> G3 0.022327 0.506124 0.033412
G85 -> G3 0.101373 0.998981 0.299438
G87 -> G3 0.035629 0.565845 0.059612
G91 -> G3 0.093621 0.997957 0.276258
G92 -> G3 0.043601 0.733844 0.094608
G93 -> G3 0.028895 0.572521 0.048916
G95 -> G3 0.032858 0.602268 0.058513
G96 -> G3 0.028717 0.611189 0.051897
G97 -> G3 0.021010 0.514361 0.031953
G2 -| G4 -0.063261 0.779258 -0.145762
G3 -> G4 0.085838 0.978227 0.248282
G5 -| G4 -0.026184 0.519387 -0.040213
G7 -> G4 0.129218 0.999865 0.382025
G9 -> G4 0.041624 0.553180 0.068083
G10 -| G4 -0.069916 0.860779 -0.177950
G11 -> G4 0.014678 0.503650 0.021859
G15 -> G4 0.024168 0.510219 0.036461
G16 -| G4 -0.079707 0.853491 -0.201151
G17 -> G4 0.108308 0.989642 0.316931
G18 -| G4 -0.068929 0.899566 -0.183344
G20 -> G4 0.023069 0.502619 0.034284
G23 -> G4 0.055352 0.730750 0.119600
G24 -> G4 0.093988 0.969283 0.269373
G26 -> G4 0.040403 0.671791 0.080256
G27 -> G4 0.037000 0.607691 0.066484
G28 -> G4 0.128341 0.997619 0.378581
G30 -> G4 0.052761 0.767314 0.119705
G32 -| G4 -0.011732 0.500865 -0.017375
G35 -> G4 0.075406 0.966322 0.215455
G36 -> G4 0.070213 0.932965 0.193692
G38 -> G4 0.047512 0.610274 0.085734
G39 -| G4 -0.052063 0.615186 -0.094703
G42 -> G4 0.039631 0.655123 0.076770
G43 -> G4 0.030140 0.510046 0.045455
G44 -| G4 -0.037176 0.592908 -0.065174
G46 -> G4 0.056916 0.828875 0.139494
G49 -| G4 -0.047192 0.670176 -0.093516
G52 -| G4 -0.052832 0.819013 -0.127942
G53 -> G4 0.041690 0.610416 0.075246
G55 -| G4 -0.125142 0.998816 -0.369586
G59 -> G4 0.024987 0.500953 0.037012
G60 -| G4 -0.041082 0.606754 -0.073704
G61 -| G4 -0.060827 0.656948 -0.118156
G63 -> G4 0.080738 0.974757 0.232704
G64 -> G4 0.042784 0.650298 0.082266
