Parent - Child Weight Probability Score
G2 -| G1 -0.025789 0.547291 -0.046245
G3 -> G1 0.025300 0.578374 0.047946
G4 -> G1 0.045200 0.724917 0.107361
G5 -> G1 0.036210 0.697214 0.082722
G8 -> G1 0.059442 0.880949 0.171580
G10 -| G1 -0.101565 0.990875 -0.329751
G12 -| G1 -0.070501 0.910914 -0.210424
G13 -> G1 0.012603 0.504795 0.020846
G17 -> G1 0.028080 0.553632 0.050937
G22 -> G1 0.028976 0.547674 0.051998
G23 -> G1 0.041096 0.645094 0.086864
G24 -> G1 0.045236 0.676565 0.100280
G28 -| G1 -0.031375 0.549691 -0.056510
G29 -> G1 0.029640 0.558025 0.054194
G31 -| G1 -0.117971 0.987142 -0.381570
G32 -> G1 0.009377 0.500011 0.015363
G33 -> G1 0.030983 0.571880 0.058056
G35 -> G1 0.030563 0.640589 0.064149
G37 -| G1 -0.046773 0.733586 -0.112427
G39 -> G1 0.091664 0.925839 0.278071
G42 -> G1 0.085358 0.988991 0.276602
G44 -| G1 -0.102418 0.993119 -0.333271
G45 -| G1 -0.036677 0.705278 -0.084757
G46 -> G1 0.037219 0.630544 0.076896
G49 -| G1 -0.056748 0.815785 -0.151687
G50 -| G1 -0.023055 0.502071 -0.037927
G51 -| G1 -0.059903 0.881621 -0.173041
G54 -> G1 0.019468 0.507141 0.032350
G55 -> G1 0.018851 0.519163 0.032068
G56 -> G1 0.056402 0.792278 0.146417
G58 -> G1 0.044067 0.686559 0.099132
G59 -> G1 0.041619 0.608538 0.082986
G60 -> G1 0.055165 0.763148 0.137940
G61 -> G1 0.091345 0.864313 0.258689
G63 -| G1 -0.035816 0.666703 -0.078240
G65 -> G1 0.072400 0.936129 0.222073
G70 -> G1 0.048559 0.601177 0.095651
G71 -> G1 0.154934 0.999956 0.507632
G74 -> G1 0.054468 0.761351 0.135877
G76 -> G1 0.061714 0.887048 0.179371
G77 -> G1 0.057054 0.751760 0.140535
G78 -> G1 0.060290 0.715596 0.141362
G79 -> G1 0.044005 0.633125 0.091289
G80 -> G1 0.035309 0.538862 0.062342
G82 -| G1 -0.023610 0.516693 -0.039971
G83 -> G1 0.046508 0.794386 0.121053
G84 -| G1 -0.025104 0.517458 -0.042564
G85 -> G1 0.040840 0.739752 0.098989
G89 -> G1 0.097820 0.984351 0.315501
G90 -| G1 -0.044647 0.754085 -0.110315
G93 -> G1 0.139434 0.999972 0.456855
G95 -> G1 0.025100 0.545621 0.044873
G98 -> G1 0.044322 0.771321 0.112014
G3 -> G2 0.023087 0.599458 0.045347
G7 -> G2 0.050888 0.930067 0.155077
G8 -> G2 0.031080 0.668535 0.068082
G11 -> G2 0.012689 0.505850 0.021032
G12 -> G2 0.019344 0.512492 0.032482
G17 -> G2 0.023334 0.547055 0.041826
G20 -> G2 0.022487 0.518764 0.038222
G23 -> G2 0.047867 0.778527 0.122104
G24 -> G2 0.067947 0.944763 0.210337
G25 -> G2 0.026818 0.537109 0.047196
G26 -> G2 0.029574 0.655715 0.063540
G27 -> G2 0.027925 0.616088 0.056371
G29 -> G2 0.021976 0.519231 0.037389
G30 -> G2 0.052530 0.891629 0.153466
G35 -> G2 0.038351 0.818058 0.102796
G38 -> G2 0.015096 0.500913 0.024777
G42 -> G2 0.032311 0.685469 0.072571
G45 -> G2 0.018989 0.549356 0.034180
G51 -> G2 0.031686 0.657093 0.068220
G52 -> G2 0.027323 0.637214 0.057047
G54 -> G2 0.019183 0.521047 0.032749
G57 -> G2 0.029608 0.579635 0.056233
G68 -> G2 0.024278 0.584487 0.046495
G70 -> G2 0.057429 0.701199 0.131946
G77 -> G2 0.035227 0.586423 0.067687
G79 -> G2 0.035505 0.604838 0.070365
G81 -> G2 0.034193 0.677788 0.075937
G83 -> G2 0.025793 0.591662 0.050003
G85 -> G2 0.022941 0.585075 0.043979
G91 -> G2 0.042488 0.843766 0.117466
G92 -> G2 0.021996 0.563476 0.040610
G93 -> G2 0.025932 0.613995 0.052170
G96 -> G2 0.028998 0.690121 0.065571
G98 -> G2 0.034009 0.724654 0.080751
G99 -> G2 0.036342 0.735495 0.087581
G3 -> G3 0.033637 0.705955 0.077806
G5 -> G3 0.035224 0.727626 0.083980
G6 -> G3 0.016612 0.513184 0.027934
G7 -> G3 0.038557 0.766832 0.096878
G8 -> G3 0.037862 0.723282 0.089729
G9 -> G3 0.029111 0.526677 0.050237
G12 -> G3 0.027713 0.581019 0.052759
G17 -> G3 0.070189 0.940768 0.216357
G18 -> G3 0.021542 0.518214 0.036578
G19 -> G3 0.025915 0.526877 0.044738
G21 -> G3 0.118109 0.996965 0.385820
G22 -> G3 0.034720 0.615571 0.070029
G26 -> G3 0.029214 0.630011 0.060306
G27 -> G3 0.027732 0.596684 0.054218
G28 -> G3 0.037798 0.646035 0.080011
G29 -> G3 0.069221 0.932454 0.211489
G30 -> G3 0.081923 0.984390 0.264238
G31 -> G3 0.040243 0.625424 0.082468
G33 -> G3 0.049363 0.731692 0.118345
G35 -> G3 0.064342 0.967718 0.204016
G38 -> G3 0.035982 0.593828 0.070011
G40 -> G3 0.066353 0.976091 0.212213
G41 -> G3 0.045478 0.645720 0.096220
G45 -> G3 0.034958 0.726840 0.083255
G46 -> G3 0.051053 0.868909 0.145349
G48 -> G3 0.037971 0.726600 0.090399
G49 -> G3 0.031625 0.593864 0.061537
G51 -| G3 -0.033216 0.638637 -0.069506
G52 -> G3 0.022631 0.556532 0.041268
G53 -> G3 0.035069 0.631971 0.072619
G55 -> G3 0.045042 0.820881 0.121148
G56 -> G3 0.033873 0.579596 0.064329
G58 -> G3 0.032290 0.608914 0.064425
G59 -> G3 0.029216 0.548889 0.052545
G62 -| G3 -0.042131 0.684154 -0.094445
G63 -> G3 0.024314 0.563357 0.044882
G65 -> G3 0.038679 0.699996 0.088713
G67 -> G3 0.027795 0.594363 0.054130
G68 -> G3 0.068615 0.956232 0.214984
G69 -> G3 0.024686 0.551242 0.044588
G75 -> G3 0.028740 0.575946 0.054236
G79 -> G3 0.040702 0.634460 0.084615
G81 -> G3 0.034933 0.660826 0.075639
G82 -> G3 0.017709 0.501861 0.029120
G85 -> G3 0.068744 0.971460 0.218816
G87 -> G3 0.030655 0.562661 0.056516
G91 -> G3 0.076944 0.988800 0.249289
G92 -> G3 0.043061 0.770231 0.108674
G93 -> G3 0.020581 0.525917 0.035465
G95 -> G3 0.026090 0.577695 0.049385
G96 -> G3 0.051094 0.905198 0.151541
G97 -> G3 0.022988 0.551397 0.041533
G2 -| G4 -0.036216 0.614639 -0.072935
G3 -> G4 0.053233 0.850665 0.148375
G5 -| G4 -0.024190 0.550859 -0.043661
G7 -> G4 0.107606 0.998509 0.352054
G9 -> G4 0.037696 0.553504 0.068365
G10 -| G4 -0.048799 0.708358 -0.113262
G11 -> G4 0.018502 0.513653 0.031139
G14 -> G4 0.021744 0.507683 0.036170
G15 -> G4 0.025311 0.521444 0.043245
G16 -| G4 -0.079722 0.872784 -0.227986
G17 -> G4 0.091754 0.973132 0.292562
G18 -| G4 -0.057941 0.842590 -0.159963
G20 -> G4 0.019553 0.501563 0.032134
G23 -> G4 0.030217 0.546598 0.054118
G24 -> G4 0.068888 0.874091 0.197296
G26 -> G4 0.044406 0.759326 0.110483
G27 -> G4 0.041472 0.697270 0.094750
G28 -> G4 0.114934 0.993784 0.374251
G30 -> G4 0.044093 0.716987 0.103587
G33 -> G4 0.020528 0.513597 0.034546
G35 -> G4 0.047152 0.816118 0.126088
G36 -> G4 0.068617 0.928867 0.208835
G38 -> G4 0.040084 0.595017 0.078148
G39 -| G4 -0.042104 0.574480 -0.079253
G42 -> G4 0.050898 0.821526 0.137007
G46 -> G4 0.044225 0.711281 0.103071
G49 -| G4 -0.038023 0.616296 -0.076782
G52 -| G4 -0.027766 0.575261 -0.052336
G53 -> G4 0.034096 0.575622 0.064307
G55 -| G4 -0.068006 0.926363 -0.206421
G60 -| G4 -0.036416 0.599434 -0.071525
G61 -| G4 -0.051487 0.631706 -0.106569
G63 -> G4 0.057557 0.884757 0.166857
G64 -> G4 0.037765 0.640630 0.079272
G65 -| G4 -0.033509 0.594615 -0.065286
G68 -> G4 0.107897 0.995482 0.351937
G69 -| G4 -0.030723 0.577840 -0.058169
G70 -> G4 0.029192 0.503199 0.048131
G73 -> G4 0.129879 0.989837 0.421236
G74 -> G4 0.061838 0.816340 0.165405
G76 -| G4 -0.048874 0.716202 -0.114693
G77 -> G4 0.044762 0.615460 0.090267
G78 -> G4 0.036910 0.570416 0.068985
G79 -> G4 0.122598 0.991112 0.398133
G81 -> G4 0.050949 0.774043 0.129218
G83 -> G4 0.083187 0.984612 0.268376
G85 -> G4 0.031225 0.627039 0.064154
G87 -> G4 0.037807 0.586199 0.072616
G91 -> G4 0.088581 0.990066 0.287361
G92 -> G4 0.122389 0.998145 0.400274
G94 -| G4 -0.039272 0.654416 -0.084209
G96 -> G4 0.064645 0.939605 0.199023
G97 -| G4 -0.032164 0.592074 -0.062397
G100 -| G4 -0.066714 0.939805 -0.205435
