Parent - Child Weight Probability Score
G2 -| G1 -0.272492 0.999866 -0.479774
G3 -> G1 0.092325 0.618607 0.100571
G5 -> G1 0.102675 0.837799 0.151477
G7 -| G1 -0.092060 0.704204 -0.114159
G9 -| G1 -0.108993 0.937051 -0.179847
G10 -| G1 -0.157109 0.994816 -0.275223
G12 -| G1 -0.108377 0.629074 -0.120055
G13 -> G1 0.072305 0.745808 0.094959
G15 -| G1 -0.084487 0.847653 -0.126110
G17 -> G1 0.143377 0.923346 0.233123
G23 -> G1 0.138576 0.952077 0.232328
G25 -| G1 -0.160275 0.981591 -0.277037
G26 -| G1 -0.093105 0.683313 -0.112030
G28 -| G1 -0.173118 0.997392 -0.304053
G31 -| G1 -0.257026 1.000000 -0.452604
G33 -> G1 0.118151 0.734761 0.152871
G34 -| G1 -0.081084 0.576199 -0.082272
G35 -> G1 0.093157 0.723906 0.118752
G37 -| G1 -0.082676 0.589014 -0.085753
G39 -> G1 0.174718 0.999085 0.307384
G40 -| G1 -0.115755 0.913590 -0.186223
G41 -| G1 -0.114338 0.906482 -0.182512
G44 -| G1 -0.155050 0.984693 -0.268852
G45 -| G1 -0.164993 0.997782 -0.289897
G46 -> G1 0.098417 0.816016 0.141420
G50 -| G1 -0.180340 0.995030 -0.315987
G51 -| G1 -0.215746 0.999998 -0.379912
G53 -| G1 -0.122950 0.886218 -0.191872
G54 -> G1 0.114738 0.691388 0.139692
G56 -> G1 0.144803 0.984783 0.251107
G59 -> G1 0.115075 0.865513 0.175387
G60 -> G1 0.122079 0.766681 0.164815
G61 -> G1 0.155528 0.992520 0.271826
G65 -> G1 0.127273 0.902545 0.202278
G66 -> G1 0.097105 0.557109 0.095262
G70 -> G1 0.146597 0.989549 0.255449
G71 -> G1 0.142263 0.981644 0.245916
G80 -> G1 0.136165 0.983436 0.235805
G84 -| G1 -0.085326 0.552066 -0.082949
G85 -> G1 0.103285 0.765968 0.139312
G87 -| G1 -0.109412 0.797893 -0.153727
G90 -| G1 -0.113059 0.880493 -0.175297
G96 -| G1 -0.189643 0.999861 -0.333902
G98 -> G1 0.100459 0.812431 0.143720
G2 -| G2 -0.124248 0.875064 -0.191457
G5 -| G2 -0.086853 0.879845 -0.134565
G8 -> G2 0.082041 0.673021 0.097231
G11 -> G2 0.158299 0.999953 0.278740
G14 -| G2 -0.057278 0.695822 -0.070183
G19 -> G2 0.060643 0.702462 0.075014
G20 -> G2 0.207757 1.000000 0.365844
G23 -> G2 0.107411 0.920965 0.174194
