Parent - Child Weight Probability Score
G1 -> G1 0.208613 0.962968 0.341035
G2 -> G1 0.181339 0.944569 0.290785
G3 -| G1 -0.320993 0.999993 -0.544928
G4 -| G1 -0.175803 0.866927 -0.258735
G6 -| G1 -0.200026 0.784768 -0.266486
G8 -| G1 -0.127730 0.511949 -0.111011
G10 -| G1 -0.226158 0.978783 -0.375791
G12 -| G1 -0.240525 0.998203 -0.407592
G19 -| G1 -0.166589 0.701941 -0.198515
G21 -| G1 -0.202866 0.899448 -0.309764
G23 -> G1 0.146366 0.617428 0.153417
G25 -> G1 0.309613 0.999982 0.525604
G26 -> G1 0.431824 1.000000 0.733084
G27 -> G1 0.234020 0.991572 0.393934
G28 -> G1 0.135961 0.549576 0.126850
G29 -> G1 0.167618 0.614774 0.174938
G33 -> G1 0.105531 0.718253 0.128678
G35 -> G1 0.419111 1.000000 0.711501
G36 -> G1 0.162496 0.672842 0.185611
G39 -> G1 0.209039 0.858599 0.304694
G41 -| G1 -0.215061 0.992900 -0.362505
G43 -| G1 -0.299498 0.992260 -0.504507
G45 -| G1 -0.177587 0.907776 -0.273676
G46 -> G1 0.098067 0.751719 0.125148
G51 -| G1 -0.339774 0.999864 -0.576737
G53 -| G1 -0.449039 1.000000 -0.762310
G55 -> G1 0.178565 0.765044 0.231915
G58 -> G1 0.272477 0.994684 0.460109
G59 -| G1 -0.150604 0.712021 -0.182044
G62 -> G1 0.243224 0.993445 0.410202
G63 -> G1 0.342926 0.999212 0.581708
G64 -| G1 -0.214362 0.894887 -0.325660
G68 -| G1 -0.334999 0.999406 -0.568372
G70 -> G1 0.182085 0.857576 0.265090
G72 -| G1 -0.161337 0.744869 -0.204014
G74 -> G1 0.154602 0.514860 0.135130
G75 -> G1 0.254047 0.950772 0.410050
G76 -| G1 -0.328406 0.999972 -0.557501
G77 -| G1 -0.132518 0.692532 -0.155798
G80 -> G1 0.115092 0.527491 0.103064
G85 -> G1 0.152246 0.534852 0.138238
G86 -> G1 0.315775 0.999999 0.536073
G91 -| G1 -0.160752 0.617803 -0.168598
G93 -> G1 0.189746 0.806315 0.259731
G96 -| G1 -0.120060 0.541579 -0.110384
G97 -> G1 0.217166 0.890096 0.328152
G99 -| G1 -0.164212 0.853323 -0.237884
G100 -> G1 0.194464 0.911293 0.300845
G2 -| G2 -0.097413 0.753708 -0.124643
G3 -> G2 0.142158 0.939614 0.226761
G5 -| G2 -0.115305 0.769004 -0.150530
G8 -> G2 0.247999 0.999999 0.421013
G9 -> G2 0.141892 0.927383 0.223390
G10 -> G2 0.289409 1.000000 0.491313
G13 -> G2 0.149944 0.946325 0.240889
G15 -| G2 -0.092783 0.505456 -0.079616
G19 -> G2 0.128231 0.763633 0.166236
G20 -> G2 0.089141 0.584384 0.088434
G21 -> G2 0.239950 0.999890 0.407305
