Parent - Child Weight Probability Score
G1 -> G1 0.081534 0.809966 0.196195
G2 -| G1 -0.060955 0.564152 -0.102162
G5 -> G1 0.160518 0.999150 0.476472
G6 -> G1 0.069312 0.845240 0.174048
G7 -> G1 0.073852 0.831908 0.182525
G9 -> G1 0.063708 0.751287 0.142194
G10 -> G1 0.071687 0.662017 0.140992
G12 -> G1 0.112448 0.910883 0.304296
G13 -| G1 -0.059720 0.583474 -0.103521
G14 -| G1 -0.077588 0.778565 -0.179462
G15 -| G1 -0.061152 0.573313 -0.104156
G18 -> G1 0.066226 0.639926 0.125905
G20 -| G1 -0.096164 0.928245 -0.265191
G24 -| G1 -0.098377 0.956968 -0.279690
G25 -> G1 0.189167 0.999999 0.561991
G26 -> G1 0.054795 0.681334 0.110914
G31 -> G1 0.075318 0.759773 0.170007
G33 -> G1 0.048977 0.625150 0.090962
G34 -> G1 0.053037 0.568919 0.089643
G35 -> G1 0.057634 0.555847 0.095173
G36 -| G1 -0.130374 0.992296 -0.384339
G40 -| G1 -0.056458 0.546634 -0.091687
G42 -| G1 -0.070133 0.610103 -0.127118
G44 -> G1 0.119702 0.808160 0.287396
G46 -> G1 0.056319 0.684328 0.114500
G48 -> G1 0.064349 0.584562 0.111752
G51 -| G1 -0.063119 0.565593 -0.106058
G52 -> G1 0.093940 0.969185 0.270483
G54 -> G1 0.115749 0.976275 0.335718
G55 -> G1 0.099006 0.979480 0.288099
G56 -> G1 0.084896 0.914350 0.230612
G58 -> G1 0.183215 0.997103 0.542731
G59 -| G1 -0.081029 0.620821 -0.149448
G66 -| G1 -0.101772 0.972743 -0.294109
G68 -> G1 0.064289 0.527405 0.100731
G71 -> G1 0.094503 0.971572 0.272773
G78 -| G1 -0.192324 0.999989 -0.571364
G80 -| G1 -0.091248 0.880164 -0.238600
G84 -> G1 0.112186 0.912762 0.304216
G88 -> G1 0.082713 0.931840 0.228981
G92 -| G1 -0.043879 0.512571 -0.066818
G97 -> G1 0.133185 0.997229 0.394577
G1 -> G2 0.063121 0.600310 0.112573
G2 -| G2 -0.080818 0.701457 -0.168419
G3 -| G2 -0.042665 0.520543 -0.065980
G6 -| G2 -0.093808 0.945027 -0.263371
G8 -| G2 -0.128453 0.986697 -0.376539
G10 -> G2 0.135221 0.958036 0.384867
G11 -> G2 0.080888 0.779288 0.187269
G13 -> G2 0.057425 0.540624 0.092231
G14 -| G2 -0.120997 0.959602 -0.344945
G15 -> G2 0.059468 0.533211 0.094204
G17 -> G2 0.046175 0.517267 0.070959
G22 -> G2 0.107672 0.945675 0.302503
G23 -| G2 -0.055329 0.530539 -0.087207
G24 -> G2 0.132610 0.997117 0.392832
G25 -| G2 -0.169816 0.999927 -0.504463
G27 -> G2 0.122715 0.972042 0.354378
G28 -> G2 0.186916 0.999928 0.555263
G29 -> G2 0.163211 0.993355 0.481656
G31 -> G2 0.060248 0.566745 0.101441
G33 -| G2 -0.134633 0.998063 -0.399204
G34 -> G2 0.066784 0.659050 0.130761
G39 -> G2 0.152994 0.999912 0.454484
G46 -> G2 0.123105 0.996688 0.364516
G47 -> G2 0.121353 0.955974 0.344653
G49 -> G2 0.079097 0.823638 0.193544
G52 -> G2 0.116634 0.988234 0.342429
G53 -> G2 0.074360 0.737035 0.162821
G54 -| G2 -0.083468 0.807714 -0.200291
G55 -| G2 -0.104325 0.967666 -0.299914
G59 -| G2 -0.062971 0.513417 -0.096049
G61 -> G2 0.081918 0.633423 0.154154
G63 -| G2 -0.113469 0.937068 -0.315888
G69 -| G2 -0.067960 0.600466 -0.121234
G71 -| G2 -0.070710 0.800229 -0.168104
G76 -> G2 0.145745 0.973944 0.421707
G77 -| G2 -0.072564 0.817784 -0.176297
G78 -> G2 0.121685 0.983480 0.355538
G86 -> G2 0.078317 0.801830 0.186562
G89 -> G2 0.116445 0.901361 0.311820
G91 -> G2 0.059690 0.681203 0.120798
G93 -> G2 0.067445 0.535748 0.107348
G94 -| G2 -0.069225 0.751449 -0.154542
G97 -> G2 0.044265 0.514341 0.067639
G100 -> G2 0.072997 0.804404 0.174446
G3 -> G3 0.089742 0.932665 0.248658
G7 -> G3 0.044275 0.502162 0.066052
G9 -> G3 0.142482 0.999085 0.422909
G10 -> G3 0.082452 0.699246 0.171282
G13 -| G3 -0.118064 0.907207 -0.318205
G15 -> G3 0.068318 0.594628 0.120688
G17 -| G3 -0.077945 0.819561 -0.189782
G18 -> G3 0.092380 0.806396 0.221316
G20 -> G3 0.064414 0.642293 0.122913
G22 -> G3 0.110189 0.936407 0.306539
G23 -| G3 -0.094831 0.883873 -0.249013
G26 -> G3 0.091766 0.935422 0.255020
G28 -> G3 0.112200 0.972071 0.324023
G29 -> G3 0.092606 0.755080 0.207738
G32 -| G3 -0.097422 0.872846 -0.252625
G37 -| G3 -0.071070 0.781067 -0.164914
G38 -> G3 0.070041 0.541830 0.112745
G52 -> G3 0.159597 0.999839 0.474065
G54 -> G3 0.052950 0.531197 0.083561
G56 -> G3 0.102238 0.960308 0.291680
G58 -> G3 0.085358 0.644881 0.163535
G59 -| G3 -0.086403 0.615439 -0.157979
G60 -> G3 0.086644 0.909370 0.234078
G62 -> G3 0.102149 0.767495 0.232912
G66 -| G3 -0.131332 0.994465 -0.388010
G67 -| G3 -0.134963 0.947632 -0.379959
G68 -> G3 0.090163 0.652276 0.174720
G71 -> G3 0.083044 0.899585 0.221939
G80 -| G3 -0.117340 0.953066 -0.332242
G81 -> G3 0.054304 0.565425 0.091221
G87 -> G3 0.064857 0.546320 0.105265
G88 -> G3 0.123918 0.995862 0.366620
G89 -> G3 0.078143 0.614653 0.142693
G90 -> G3 0.073887 0.796283 0.174791
G91 -| G3 -0.057253 0.630757 -0.107286
G94 -> G3 0.174665 0.999891 0.518850
G97 -> G3 0.058733 0.659745 0.115117
G98 -> G3 0.135926 0.999276 0.403527
G99 -| G3 -0.083678 0.600800 -0.149356
G100 -> G3 0.107995 0.975182 0.312878
G3 -> G4 0.042455 0.549603 0.069320
G9 -> G4 0.075408 0.886622 0.198627
G12 -| G4 -0.063523 0.576289 -0.108756
G13 -| G4 -0.057435 0.564265 -0.096281
G14 -> G4 0.087346 0.864134 0.224238
G16 -> G4 0.138082 0.982556 0.403068
G19 -> G4 0.066156 0.680727 0.133791
G20 -> G4 0.129288 0.994732 0.382075
G22 -| G4 -0.054100 0.521669 -0.083845
G30 -> G4 0.076350 0.651675 0.147817
G31 -> G4 0.067071 0.678365 0.135171
G33 -> G4 0.071846 0.872915 0.186318
G34 -| G4 -0.051770 0.554029 -0.085211
G40 -> G4 0.131019 0.972385 0.378492
G43 -> G4 0.049957 0.569552 0.084531
G46 -> G4 0.077723 0.907983 0.209657
G49 -> G4 0.082146 0.888596 0.216858
G55 -> G4 0.078554 0.902252 0.210562
G58 -| G4 -0.098871 0.778428 -0.228649
G60 -> G4 0.066751 0.788482 0.156362
G62 -> G4 0.065248 0.566887 0.109887
G63 -| G4 -0.055243 0.525340 -0.086218
G65 -| G4 -0.051932 0.511353 -0.078893
G66 -> G4 0.048738 0.562568 0.081457
G70 -> G4 0.209985 0.999983 0.623827
