Parent X. Child Weight Probability
cmklr1 -| arpc1b -1.186616 1
slc2a6 -> hells 1.076006 1
il1b -> serpinb1 1.019571 1
pfn1 -| cd74b -0.848104 1
slc2a6 -> prim2 0.822406 1
haus5 -> spc24 0.819794 1
im:6904482 -| si:ch211-114n24.6 -0.801436 1
mrc1b -> apex1 0.785266 1
mpp4a -| eef1a1l1 -0.781574 1
slc2a6 -> apex1 0.743139 1
tirap -| rps29 -0.741152 1
slc2a6 -| flna -0.735006 1
socs7 -> spc24 0.719806 1
gig2q -| rrm2 -0.701352 1
slc2a6 -> chchd10 0.667199 1
slc2a6 -> si:dkey-257i7.5 0.657423 1
anxa1a -> gp1bb 0.652073 1
hook1 -> mad2l1 0.649585 1
slc2a6 -> mettl1 0.632359 1
cfp -| cfl1 -0.629207 1
si:ch73-40i7.2 -| zgc:110540 -0.627398 1
slc2a6 -> atad5a 0.627198 1
soul5 -| zgc:110425 -0.611891 1
slc2a6 -> chaf1b 0.610167 1
si:dkey-204f11.64 -> prim1 0.597993 1
pdcd2l -> pane1 0.59617 1
ddit4 -> pane1 0.593306 1
pfn1 -| grn1 -0.582432 1
mki67 -| ddx5 -0.580735 1
si:dkey-195m11.11 -> si:dkey-5n18.1 0.577264 1
hook1 -> si:ch211-113a14.22 0.57622 1
si:dkey-261m9.17 -> cd74a 0.575505 1
slc2a6 -> c24h7orf50 0.572735 1
slc2a6 -> ccna2 0.570556 1
gng12a -> tyms 0.561356 1
socs7 -> si:ch211-266i6.3 0.557312 1
slc2a6 -> spc24 0.554907 1
pdcd2l -> ponzr1 0.547694 1
ms4a17a.10 -> dtymk 0.541925 1
ms4a17a.10 -> smc4 0.540102 1
slc2a6 -> znhit3 0.535895 1
aurkb -> mad2l1 0.533477 1
slc2a6 -> dsn1 0.529216 1
tgfbi -> cdc6 0.526382 1
ms4a17a.10 -> anxa1a 0.524818 1
si:dkey-261m9.17 -> cdk6 0.52345 1
si:dkey-108k21.10 -| aurkb -0.520408 1
hook1 -> ccna2 0.517693 1
slc2a6 -> cdca7b 0.515874 1
cecr1b -> nip7 0.515375 1
si:dkey-204f11.64 -> lig1 0.513561 1
ccna2 -| cks1b -0.51354 1
tcea3 -> pane1 0.507412 1
snx10b -> runx1 0.505842 1
slc2a6 -> atic 0.501596 1
si:ch211-39k3.2 -> fzd8b 0.49438 1
esco2 -> ponzr1 0.493665 1
anxa1a -| cox8b -0.489421 1
mrc1b -> lamb1b 0.487224 1
si:dkey-126g1.9 -> pus1 0.480144 1
socs7 -> prc1b 0.477746 1
slc2a6 -> poln 0.470113 1
slc2a6 -> tomm40l 0.468413 1
smc2 -> fzd8b 0.467795 1
si:ch211-161h7.4 -> pbk 0.465834 1
si:ch211-161h7.4 -> spc25 0.464276 1
si:dkey-108k21.10 -| mki67 -0.464248 1
hook1 -> top2a 0.463831 1
slc2a6 -> si:ch211-161h7.4 0.461312 1
si:dkey-185e18.7 -> spc25 0.457998 1
nkain1 -> haus1 0.456 1
krcp -> krcp 0.453627 1
haus5 -> ccna2 0.452894 1
slc2a6 -> ncaph 0.452074 1
slc2a6 -> gtse1 0.452024 1
gig2q -| mad2l1 -0.451976 1
slc3a2a -> itgb2 0.451611 1
cecr1b -> ncapg2 0.451583 1
si:dkey-185e18.7 -> ndc80 0.450786 1
zgc:173552 -> pbk 0.449264 1
cecr1b -> chtf8 0.448494 1
slc2a6 -> zgc:110224 0.448466 1
gtse1 -> si:ch211-113a14.22 0.447964 1
si:dkey-108k21.10 -| smc2 -0.44308 1
socs7 -> poln 0.441849 1
kif15 -| cks1b -0.441713 1
si:ch211-113a14.18 -| cdk6 -0.441028 1
snx10b -> erg 0.436972 1
slc2a6 -| tmsb4x -0.435946 1
si:dkey-106l3.6 -> nip7 0.435883 1
primpol -> lig1 0.435866 1
slc2a6 -> chtf18 0.432462 1
hook1 -> cenpn 0.430114 1
slc2a6 -> si:dkey-6i22.5 0.430078 1
slc2a6 -> LOC100536757 0.428757 1
aurkb -> cenpn 0.428598 1
cdkn2d -> si:ch211-113a14.22 0.426176 1
gng12a -> chtf8 0.425626 1
si:ch211-26b3.4 -| hexb -0.425437 1
ms4a17a.10 -> spc25 0.425236 1
si:ch211-161h7.4 -> LOC100148591 0.423571 1
runx1 -> LOC100334934 0.42268 1
si:dkey-108k21.10 -| cdk6 -0.422638 1
mrc1b -> rad51 0.422559 1
socs7 -> zgc:110224 0.421565 1
pdcd2l -> primpol 0.421126 1
