SourceGENES,TargetGENES,Interaction,Edges
KLF10,NFATC2,1,activation
KLF13,NFATC2,0.734470109450132,activation
BCL6,NFATC2,0.734339643685273,repression
UHRF1,NFATC2,0.721533683347396,repression
KLF10,CEBPD,0.710490735891315,repression
KLF13,SPIB,0.70684386310375,activation
BCL6,SPIB,0.690300263994774,activation
PRDM1,NFATC2,0.670539640624113,repression
PPARG,NFATC2,0.608752367409857,activation
BCL6,TCFL5,0.602557859609846,activation
MAFB,NFATC2,0.602532320343412,activation
BCL6,PRDM1,0.60021583722541,activation
KLF13,TCFL5,0.591723633034512,repression
KLF13,PRDM1,0.57613209547155,activation
KLF10,ELK1,0.573367942553971,activation
BCL6,PPARG,0.558674562364461,activation
KLF13,PPARG,0.558127531907026,repression
KLF13,SMAD3,0.556520730956569,activation
KLF10,HOXA10,0.550265142799664,activation
KLF10,TCF3,0.549003622755555,activation
KLF13,ELK1,0.547054584456076,repression
KLF10,TCFL5,0.533574678645606,activation
MYEF2,NFATC2,0.528883973361773,repression
BCL6,ELK1,0.525433070276108,activation
KLF13,TFPT,0.523308681082864,activation
VDR,NFATC2,0.517705800764942,repression
BCL6,SMAD3,0.508813122488349,activation
UHRF1,CEBPD,0.499644085161353,repression
IRF8,SPIB,0.493241282338001,activation
PRDM1,CEBPD,0.485721991790268,activation
BCL6,CEBPD,0.485250987672172,activation
KLF13,CEBPD,0.484882276151599,repression
IRF8,NFATC2,0.482905103656159,repression
KLF10,SNAI3,0.481947647697443,activation
BCL6,TFPT,0.481863383821357,activation
FOSB,SPIB,0.477518252546188,activation
PRDM1,ELK1,0.473158386844967,activation
FOSB,NFATC2,0.471650620546368,repression
UHRF1,TCFL5,0.460530773926139,repression
KLF13,SNAI3,0.460207217383864,activation
UHRF1,ELK1,0.459030890257891,activation
FOS,NFATC2,0.448959520116076,repression
NFYA,SPIB,0.447088784234305,activation
NFYA,NFATC2,0.446080267739732,activation
PRDM1,SNAI3,0.432431348281551,repression
BCL6,SNAI3,0.427392316381478,activation
KLF10,RXRB,0.420050687232801,repression
IRF8,PRDM1,0.416725441043116,repression
NFYA,PRDM1,0.413304856807946,repression
UHRF1,SPIB,0.412402569581221,activation
BCL6,HOXA10,0.411371506908518,activation
KLF13,TCF3,0.408973377264953,repression
IRF8,TCFL5,0.40728270934573,repression
MYEF2,ELK1,0.40610288890623,repression
PPARG,TCFL5,0.405692122728379,repression
BCL6,TCF3,0.404963727335763,repression
MAFB,CEBPD,0.404049585163449,activation
KLF13,HOXA10,0.40162007409318,activation
PPARG,CEBPD,0.401431597943274,activation
UHRF1,TCF3,0.397777803383627,activation
MYEF2,SPIB,0.397209089044308,activation
UHRF1,HOXA10,0.394541195213315,activation
UHRF1,SNAI3,0.39071507329763,repression
FOSB,TCFL5,0.38917483913437,repression
FOSB,PRDM1,0.385716263715745,activation
PRDM1,TCF3,0.385402728036111,repression
NFYA,TCFL5,0.384026983590846,activation
TRIM28,NFATC2,0.383522941713868,repression
IRF8,PPARG,0.379985732478701,repression
IRF8,ELK1,0.377754644273366,activation
IRF8,SMAD3,0.377246303536819,activation
MYEF2,CEBPD,0.373260158670639,activation
FOSB,SMAD3,0.371506152928814,activation
KLF10,ETS1,0.371216103257868,activation
MAFB,TCFL5,0.368388589367201,repression
FOSB,ELK1,0.367921589954733,activation
FOSB,PPARG,0.366429752923411,repression
NFYA,PPARG,0.363804449497691,repression
MYEF2,SNAI3,0.357695172430698,repression
SPI1,NFATC2,0.357106622375941,activation
MAFB,ELK1,0.356756348460158,repression
IRF8,TFPT,0.353166368749072,activation
PRDM1,HOXA10,0.352717077494939,activation
FLI1,SPIB,0.352450394848747,repression
VDR,CEBPD,0.352247582160852,activation
FOSB,TFPT,0.352121888624609,repression
MYEF2,TCFL5,0.349204127324555,activation
FOS,TCFL5,0.344590370548959,activation
MYEF2,SMAD3,0.343850497492118,repression
PPARG,HOXA10,0.335963651418448,repression
KLF10,LMO2,0.335635949017134,activation
PRDM1,TCFL5,0.334999907426948,repression
SPI1,SPIB,0.334825599654437,activation
KLF10,SP3,0.333569576363064,activation
PPARG,ELK1,0.33232120705258,activation
MYEF2,TFPT,0.331499142351497,repression
NFYA,SMAD3,0.328412285443953,repression
