SourceGENES	TargetGENES	Edges	Interaction
BCL6	ETS1	1	1
BCL6	FOS	1	0.879161425
MAFB	ETS1	1	0.796061167
BCL6	JUN	1	0.789161305
BCL6	MYEF2	1	0.783981732
BCL6	SPIB	-1	0.758992754
BCL6	NFATC1	-1	0.757181403
BCL6	KLF13	-1	0.739687569
BCL6	BCL6	1	0.710702053
MAFB	FOS	1	0.699751853
KLF10	ETS1	-1	0.69824707
PPARG	ETS1	1	0.691307825
PPARG	FOS	1	0.682514411
MAFB	JUN	1	0.651010175
BCL6	ELK1	-1	0.646688237
PPARG	JUN	1	0.640821496
BCL6	SNAI3	1	0.634013556
MAFB	MYEF2	-1	0.621085151
BCL6	FOSB	-1	0.615593009
BCL6	PPARG	1	0.615346843
KLF10	FOS	1	0.611552755
MAFB	NFATC1	1	0.606691399
MAFB	SPIB	-1	0.601239666
MAFB	KLF13	-1	0.590256143
SPI1	ETS1	-1	0.586402991
KLF10	JUN	1	0.579109129
PPARG	MYEF2	-1	0.579089643
PPARG	KLF13	1	0.575917168
PPARG	NFATC1	-1	0.574414959
MAFB	BCL6	1	0.55906351
KLF10	MYEF2	1	0.544376158
PPARG	SPIB	-1	0.539497135
SPI1	FOS	1	0.534734677
KLF10	NFATC1	1	0.534467253
KLF10	SPIB	1	0.52722996
KLF10	KLF13	1	0.51908289
BCL6	PRDM1	1	0.516250253
MAFB	ELK1	-1	0.51585296
MAFB	SNAI3	-1	0.512160926
SPI1	JUN	-1	0.510666673
PPARG	ELK1	1	0.507692182
PPARD	ETS1	-1	0.496196242
KLF10	BCL6	-1	0.495397942
PPARG	SNAI3	1	0.494318986
MAFB	FOSB	-1	0.487179194
EGR2	ETS1	1	0.483389924
MAFB	PPARG	1	0.481641807
SPI1	MYEF2	-1	0.468809562
SPI1	NFATC1	-1	0.463347454
BCL6	VDR	1	0.46025918
PRDM1	ETS1	1	0.457910714
SPI1	KLF13	1	0.454024675
KLF10	ELK1	-1	0.450348822
SPI1	SPIB	1	0.447992813
KLF10	SNAI3	1	0.447480139
PPARD	JUN	1	0.440978352
PPARD	FOS	1	0.439931835
PPARG	FOSB	-1	0.43627882
KLF10	FOSB	1	0.427108788
EGR2	FOS	1	0.420744097
KLF10	PPARG	-1	0.420260093
BCL6	CBFB	-1	0.419914979
BCL6	TFPT	1	0.419860932
BCL6	NFE2L1	-1	0.415077251
EGR2	JUN	1	0.413160574
BCL6	SNAI1	-1	0.409082206
MAFB	PRDM1	1	0.408604224
PRDM1	FOS	-1	0.40211714
PRDM1	JUN	1	0.40135225
BCL6	CEBPB	-1	0.396264281
SPI1	ELK1	-1	0.395176545
