SourceGENES,TargetGENES,Interaction,Edges
KLF10,MYEF2,1.72829962360255,repression
BCL6,MYEF2,1.68140185329483,repression
KLF10,ETS1,1.61028152661002,repression
BCL6,ETS1,1.59826832736201,repression
BCL6,SNAI3,1.5931339044055,repression
KLF10,SNAI3,1.59290504619381,repression
KLF13,SNAI3,1.56830941632807,repression
MAFB,MYEF2,1.33258685129597,repression
PPARD,SNAI3,1.31866281870114,repression
PPARD,MYEF2,1.29717893177266,repression
MAFB,ETS1,1.26819374816694,repression
PPARD,ETS1,1.25466256595574,repression
FOSB,SNAI3,1.24791688256134,repression
PPARG,SNAI3,1.2425086197069,repression
PRDM1,SNAI3,1.22172460032563,repression
MAFB,SNAI3,1.18528315200922,repression
KLF10,KLF13,1.16639485516961,repression
BCL6,KLF13,1.13242196351273,repression
KLF10,NFYA,1.1245497784741,repression
BCL6,NFYA,1.11334693568682,repression
KLF13,ETS1,1.10779521125972,repression
PRDM1,MYEF2,1.06017205660966,repression
PRDM1,ETS1,1.05073768745239,repression
KLF13,MYEF2,1.04863075353596,repression
KLF10,ELK1,1.04330346250164,repression
UHRF1,SNAI3,1.04018521528023,repression
BCL6,ELK1,1.01719876664428,repression
SPI1,SNAI3,1.00659590180119,repression
PPARG,ETS1,1,activation
BCL6,BCL6,0.99551962979499,activation
KLF10,BCL6,0.995044966934572,repression
PPARG,MYEF2,0.991238356062357,repression
KLF10,PRDM1,0.98344111875506,repression
BCL6,PRDM1,0.962375292819478,repression
KLF10,PPARG,0.931676339072823,repression
KLF10,CEBPB,0.926730397745252,repression
BCL6,PPARG,0.919421810140457,repression
BCL6,CEBPB,0.906547987377123,repression
MAFB,KLF13,0.896103519201427,repression
PPARD,NFYA,0.880835185177483,repression
MYEF2,SNAI3,0.877447496687252,repression
FOSB,ETS1,0.87705616673133,activation
IRF8,MYEF2,0.874263185402086,repression
VDR,MYEF2,0.870230262257972,repression
MAFB,NFYA,0.868598112349501,repression
PPARD,KLF13,0.867431765888039,repression
KLF10,SPIB,0.857820944227672,repression
