SourceGENES,TargetGENES,Interaction,Edges
KLF10,NFATC2,1,activation
KLF13,NFATC2,0.734470109321816,activation
BCL6,NFATC2,0.734339643532427,repression
UHRF1,NFATC2,0.721533683226974,repression
KLF10,CEBPD,0.710490735921141,repression
KLF13,SPIB,0.706843863292774,activation
BCL6,SPIB,0.690300264133708,activation
PRDM1,NFATC2,0.670539640548121,repression
PPARG,NFATC2,0.608752367365054,activation
BCL6,TCFL5,0.602557859722462,activation
MAFB,NFATC2,0.602532320298727,activation
BCL6,PRDM1,0.600215837746658,activation
KLF13,TCFL5,0.591723633133117,repression
KLF13,PRDM1,0.57613209593011,activation
KLF10,ELK1,0.573367942076562,activation
BCL6,PPARG,0.558674562626543,activation
KLF13,PPARG,0.558127532171778,repression
KLF13,SMAD3,0.556520731008848,activation
KLF10,HOXA10,0.55026514281613,activation
KLF10,TCF3,0.549003622685634,activation
KLF13,ELK1,0.547054584302131,repression
KLF10,TCFL5,0.533574678275534,activation
MYEF2,NFATC2,0.528883973187937,repression
BCL6,ELK1,0.525433070048905,activation
KLF13,TFPT,0.523308681134582,activation
VDR,NFATC2,0.517705800716022,repression
BCL6,SMAD3,0.508813122412609,activation
UHRF1,CEBPD,0.499644085068221,repression
IRF8,SPIB,0.493241282573983,activation
PRDM1,CEBPD,0.485721991784637,activation
BCL6,CEBPD,0.485250987510077,activation
KLF13,CEBPD,0.48488227600904,repression
IRF8,NFATC2,0.482905103686389,repression
KLF10,SNAI3,0.481947647252093,activation
BCL6,TFPT,0.481863383760372,activation
FOSB,SPIB,0.477518252756452,activation
PRDM1,ELK1,0.473158386692423,activation
FOSB,NFATC2,0.471650620545162,repression
UHRF1,TCFL5,0.460530773748711,repression
KLF13,SNAI3,0.460207217249195,activation
UHRF1,ELK1,0.45903088991673,activation
FOS,NFATC2,0.448959520004721,repression
NFYA,SPIB,0.447088784448893,activation
NFYA,NFATC2,0.446080267794113,activation
PRDM1,SNAI3,0.432431348227903,repression
BCL6,SNAI3,0.427392316149826,activation
KLF10,RXRB,0.420050687104771,repression
IRF8,PRDM1,0.416725441410912,repression
NFYA,PRDM1,0.413304857198383,repression
UHRF1,SPIB,0.412402569121211,activation
BCL6,HOXA10,0.411371506842314,activation
KLF13,TCF3,0.408973377169789,repression
IRF8,TCFL5,0.407282709503285,repression
MYEF2,ELK1,0.406102888768545,repression
PPARG,TCFL5,0.405692122664799,repression
BCL6,TCF3,0.404963727215457,repression
MAFB,CEBPD,0.40404958508471,activation
KLF13,HOXA10,0.401620074016694,activation
PPARG,CEBPD,0.401431597847629,activation
UHRF1,TCF3,0.397777803266944,activation
MYEF2,SPIB,0.397209088873714,activation
UHRF1,HOXA10,0.394541195147142,activation
UHRF1,SNAI3,0.390715073000511,repression
FOSB,TCFL5,0.389174839257659,repression
FOSB,PRDM1,0.385716264037458,activation
PRDM1,TCF3,0.385402727992252,repression
NFYA,TCFL5,0.384026983763406,activation
TRIM28,NFATC2,0.383522941678068,repression
IRF8,PPARG,0.379985732701312,repression
IRF8,ELK1,0.377754644308787,activation
IRF8,SMAD3,0.377246303654042,activation
MYEF2,CEBPD,0.373260158563534,activation
FOSB,SMAD3,0.371506153034365,activation
KLF10,ETS1,0.371216103163193,activation
MAFB,TCFL5,0.368388589214877,repression
FOSB,ELK1,0.367921589963263,activation
FOSB,PPARG,0.366429753126398,repression
NFYA,PPARG,0.363804449733582,repression
MYEF2,SNAI3,0.357695172344365,repression
SPI1,NFATC2,0.357106622351492,activation
MAFB,ELK1,0.356756348145803,repression
