SourceGENES,TargetGENES,Interaction,Edges
G81,G24,1,activation
G67,G33,0.893949089742991,repression
G82,G23,0.793404357144747,repression
G82,G86,0.780757498178086,repression
G40,G24,0.770480177889725,activation
G95,G23,0.764082955421082,activation
G59,G42,0.748773349930499,repression
G45,G10,0.731839937136284,activation
G20,G23,0.703759137324645,repression
G81,G39,0.657397641255233,activation
G73,G15,0.652962118990611,repression
G82,G75,0.643415993360279,repression
G36,G98,0.642559560993568,activation
G81,G32,0.641246649291994,activation
G21,G32,0.638960774240227,repression
G45,G24,0.622673354026652,repression
G80,G86,0.598516731515816,repression
G82,G43,0.594105849186169,repression
G55,G30,0.593181499717474,activation
G92,G5,0.590967246720565,activation
G80,G16,0.582848517037551,repression
G67,G60,0.581547405247193,repression
G16,G30,0.579855675885452,activation
G16,G15,0.573096202962895,activation
G81,G56,0.56445289269272,activation
G19,G75,0.561161088014734,repression
G25,G22,0.559560046516264,repression
G73,G30,0.550723401079239,repression
G71,G39,0.535227779353808,activation
G99,G15,0.528598418191484,activation
G67,G50,0.518690754296262,repression
G40,G32,0.517764696553455,activation
G93,G58,0.508353206780088,activation
G71,G24,0.507064537594817,activation
G16,G55,0.506729248576341,activation
G95,G18,0.500611347411277,activation
G81,G87,0.493700487972216,repression
G81,G49,0.487170832957174,activation
G16,G60,0.481884831554558,activation
G5,G42,0.479544283745773,activation
G40,G21,0.476291388086197,repression
G81,G71,0.469701013956126,repression
G36,G39,0.466138343418956,repression
G90,G24,0.457179391004233,repression
G40,G16,0.456691966156337,repression
G73,G71,0.453530032374873,activation
G71,G62,0.445403475333817,repression
G20,G100,0.444846945473662,repression
G93,G42,0.444098886220724,activation
G92,G26,0.443160585362343,activation
G82,G25,0.442635531060617,activation
G41,G11,0.442419948067594,repression
G66,G30,0.441351546470215,repression
G40,G39,0.440488851428546,repression
G36,G58,0.440446002221226,repression
G71,G20,0.437963653874091,repression
G21,G35,0.436758378021932,activation
G41,G83,0.432379861995782,repression
G95,G13,0.431617184716747,activation
G19,G87,0.429273156382427,activation
G81,G47,0.429023061160379,activation
G78,G14,0.427421298297952,activation
G81,G16,0.427154909057178,repression
G67,G74,0.426123227932183,repression
G95,G72,0.424940896775925,activation
G25,G59,0.424714328882568,repression
G70,G90,0.423295854251249,repression
G47,G24,0.422839507652211,activation
G81,G10,0.422213675115627,repression
G36,G50,0.421682250423128,repression
G31,G33,0.420260866031649,activation
G70,G83,0.418186108388592,activation
G82,G59,0.418120247871356,repression
G33,G23,0.417989899922114,repression
G90,G16,0.417742440719724,activation
G90,G83,0.416411517581666,activation
G26,G21,0.41635337067869,repression
G47,G16,0.415813099234384,activation
G55,G53,0.412597791591358,repression
G67,G22,0.412049363577689,repression
G19,G77,0.41155250078614,repression
G40,G64,0.411148187864654,activation
G45,G31,0.407128469180807,repression
G59,G19,0.405829748287936,activation
G92,G50,0.4047375113725,activation
G78,G3,0.404679171726444,activation
G59,G6,0.400029959867501,repression
G58,G50,0.399804012234474,activation
G25,G17,0.398611859689751,repression
G64,G10,0.396479189538751,activation
G59,G44,0.394782842467289,repression
G93,G23,0.393545298855163,repression
G9,G58,0.392611422773659,activation
G71,G56,0.390527138930454,repression
G16,G14,0.390018714146063,repression
G45,G22,0.389718600437115,activation
G92,G100,0.385903597966788,repression
G100,G60,0.380680001049082,repression
G40,G56,0.379865687148022,repression
G82,G99,0.378967690802242,activation
G36,G100,0.378649489414252,repression
G20,G5,0.378041614134815,repression
G92,G70,0.376803470352153,activation
G25,G26,0.375796834222867,repression
G47,G83,0.375329186753213,repression
G16,G99,0.373722370115819,activation
G100,G98,0.373071806900387,repression
G99,G23,0.372652893093885,activation
