SourceGENES,TargetGENES,Interaction,Edges
G15,G86,1.34614816086281,repression
G20,G86,1.13361292573693,repression
G20,G42,1,activation
G69,G54,0.930967010724798,repression
G68,G64,0.915898775872677,activation
G32,G86,0.809122441647465,activation
G1,G54,0.806301976473584,repression
G99,G24,0.805602001875381,repression
G34,G93,0.78074148661145,repression
G73,G19,0.776059700817484,repression
G9,G53,0.763349446856441,activation
G16,G24,0.762233543388415,repression
G21,G54,0.757985738454586,repression
G63,G65,0.753504518243259,repression
G34,G85,0.749872274888316,activation
G72,G19,0.743207714385485,activation
G23,G64,0.741386542561088,activation
G83,G86,0.739983345479297,repression
G1,G49,0.735400247827774,activation
G16,G64,0.734186063180139,repression
G15,G64,0.726526519105995,repression
G72,G52,0.722086411031915,repression
G68,G53,0.72119146767482,activation
G99,G83,0.720277550903959,repression
G20,G58,0.718220280445241,repression
G20,G55,0.709563250167465,repression
G72,G88,0.703694334716079,activation
G88,G85,0.700927534688744,activation
G23,G26,0.687359530178312,repression
G20,G62,0.677910926154616,repression
G74,G18,0.674603851236466,repression
G32,G18,0.674284662892422,activation
G70,G42,0.668014254539873,activation
G21,G93,0.665872726594949,repression
G1,G12,0.661083344098686,activation
G69,G56,0.657875707240514,repression
G11,G62,0.657764647468737,repression
G32,G85,0.649742410939507,repression
G21,G96,0.645648767922614,repression
G32,G42,0.637251177687917,activation
G63,G26,0.635657414639273,repression
G23,G24,0.63503150438903,activation
G72,G81,0.632781413427133,repression
G32,G53,0.619524313960643,activation
G4,G65,0.617745546953847,repression
G79,G64,0.615609098263075,repression
G79,G94,0.612764977643697,repression
G20,G98,0.608111107102828,activation
G100,G85,0.608007058436149,activation
G15,G42,0.605100433103436,repression
G21,G39,0.604512873531244,repression
G23,G19,0.603609952375422,repression
G23,G65,0.593235977102906,repression
G72,G97,0.592711785586595,activation
G72,G21,0.592482519000787,repression
G32,G62,0.590154791136387,activation
G68,G65,0.589731532071814,repression
G16,G5,0.587393184906373,repression
G23,G31,0.58575607645051,activation
G56,G12,0.585437275327588,activation
G79,G28,0.58212459513618,activation
G32,G28,0.581585241557872,activation
G15,G55,0.576177713110315,activation
G77,G64,0.573683677883392,activation
G9,G84,0.572984388435087,activation
G21,G98,0.571968965942938,repression
G99,G82,0.566504659241449,activation
G70,G62,0.563133476075721,repression
G20,G22,0.561233902757341,activation
G23,G50,0.560159782585464,activation
G74,G47,0.559223240894269,repression
G56,G54,0.557538110103378,repression
G91,G53,0.555809434220455,activation
G34,G28,0.55262287107853,activation
G88,G54,0.551017501702831,activation
G23,G83,0.549416243304875,activation
G69,G19,0.548506222895633,activation
G34,G35,0.546460355382121,activation
G77,G62,0.544756809787692,repression
G99,G5,0.5446573276096,activation
G23,G80,0.544221513390808,activation
G73,G39,0.543680359445755,activation
G45,G54,0.541852380245352,activation
G77,G91,0.541787846826424,activation
G88,G18,0.541114297781027,activation
G1,G83,0.539068763612762,activation
G34,G25,0.535173029127437,repression
G73,G54,0.531756859949851,activation
G24,G64,0.531370607916382,activation
G72,G47,0.530335246259088,repression
G23,G59,0.528536462139234,repression
G44,G50,0.526955702548231,activation
G9,G54,0.524506056998943,repression
G77,G53,0.522091538178632,repression
G58,G19,0.51964802206543,activation
G77,G38,0.517182572654398,repression
G70,G58,0.516505196099242,repression
G72,G39,0.515195771119878,repression
G56,G84,0.508073206346372,activation
G99,G54,0.506881172159135,activation
G21,G47,0.500829118843543,activation
G79,G80,0.500687369978158,activation
G16,G53,0.499751010493972,repression
