SourceGENES,TargetGENES,Interaction,Edges
G5,G89,1.32629254536283,repression
G13,G99,1.14529478856328,repression
G21,G100,1.02228005826876,repression
G19,G94,1,activation
G35,G100,0.986736329667385,repression
G35,G89,0.977724043780783,repression
G69,G27,0.97279918941705,activation
G5,G52,0.94885697951486,activation
G21,G52,0.936386639810708,activation
G30,G76,0.911432347303566,repression
G87,G93,0.906996184502793,activation
G87,G52,0.892781660632772,activation
G6,G86,0.868819727889303,repression
G30,G89,0.865678194060878,repression
G30,G100,0.861202081974415,repression
G6,G29,0.85447069368188,repression
G58,G59,0.852991855649278,repression
G12,G81,0.851759856960459,activation
G5,G98,0.845439323648357,activation
G58,G100,0.835164718872411,activation
G58,G89,0.828645723308446,repression
G19,G16,0.809844551445099,repression
G12,G27,0.800118373908006,activation
G92,G84,0.794954855979181,activation
G87,G90,0.790394150720718,repression
G35,G59,0.77793459192218,activation
G68,G93,0.774848299236193,repression
G21,G98,0.773136983786641,repression
G21,G76,0.767342861112216,repression
G65,G81,0.765788499719038,repression
G12,G61,0.765273221952327,activation
G58,G16,0.763919634243366,activation
G30,G52,0.754905442877095,activation
G60,G61,0.751529073311303,repression
G87,G9,0.742733917735124,activation
G5,G74,0.739305848092704,repression
G39,G34,0.738249362650215,activation
G20,G85,0.736194715074207,activation
G30,G99,0.71751597167707,repression
G45,G84,0.714937379682565,activation
G19,G78,0.714034721541152,activation
G19,G74,0.712368916940979,repression
G67,G91,0.710590695619358,repression
G56,G16,0.70739219167911,activation
G5,G78,0.705995647797784,activation
G8,G27,0.702950941131757,activation
G44,G83,0.70264295432493,activation
G5,G100,0.70097806247845,activation
G35,G16,0.700440257845158,activation
G35,G76,0.697753022408265,repression
G45,G85,0.688278745751783,repression
G8,G36,0.687044969486831,repression
G1,G57,0.684008750166716,repression
G65,G28,0.680056263712626,activation
G87,G45,0.677125441343232,activation
G21,G34,0.673213253851113,activation
G1,G52,0.671404775066222,activation
G43,G83,0.668584485362413,repression
G97,G27,0.667554901950472,activation
G68,G9,0.66670938182599,repression
G8,G83,0.664633707343855,repression
G97,G93,0.662765107751481,activation
G68,G36,0.662350147706345,activation
G6,G88,0.659189201455106,activation
G97,G9,0.657768693890873,activation
G84,G91,0.657252024843188,repression
G46,G27,0.652827004750646,repression
G36,G64,0.64949682398515,activation
G64,G89,0.645153437517102,activation
G30,G28,0.642070325173716,activation
G6,G22,0.641887030672342,activation
G42,G31,0.641735096941192,activation
G95,G27,0.641342031433653,repression
G44,G36,0.636107242768384,repression
G1,G27,0.629868485115413,repression
G45,G67,0.624050343481598,repression
G21,G77,0.621337708233637,repression
G20,G91,0.617914823001854,repression
G21,G74,0.616025610871626,repression
G87,G36,0.613432977064404,repression
G64,G81,0.611182700170253,repression
G13,G28,0.610849901246536,activation
G6,G52,0.610753502058019,activation
G6,G64,0.608864573930971,activation
