SourceGENES,TargetGENES,Interaction,Edges
BCL6,FOS,1,activation
BCL6,ETS1,0.846510591420115,activation
KLF10,FOS,0.821687505099338,activation
BCL6,NFATC1,0.788780152151562,activation
BCL6,SPIB,0.772812950358603,repression
MAFB,FOS,0.771227223894369,activation
KLF10,NFATC1,0.715641978319797,activation
BCL6,ELK1,0.70949781937852,repression
KLF10,SPIB,0.681394360413865,activation
KLF10,ETS1,0.675827738373372,repression
BCL6,JUN,0.672795191774489,activation
MAFB,NFATC1,0.655280903900205,activation
MAFB,SPIB,0.652080813527307,repression
MAFB,ETS1,0.640777120577168,activation
PPARG,FOS,0.628641262241942,activation
BCL6,KLF13,0.601288524313899,repression
PRDM1,FOS,0.596561101243818,activation
PRDM1,NFATC1,0.5507836329625,activation
KLF10,ELK1,0.543635942773306,repression
PPARG,NFATC1,0.533236893199015,repression
KLF10,JUN,0.512809719475279,repression
PPARG,JUN,0.505732803228501,activation
MAFB,ELK1,0.504975959557859,repression
PPARG,ETS1,0.498672415689302,activation
BCL6,SNAI3,0.472909252432869,activation
KLF10,KLF13,0.465870581572966,activation
PRDM1,ETS1,0.463672428549781,activation
PRDM1,SPIB,0.461293182420056,repression
PPARG,ELK1,0.4493802615583,activation
PPARG,SPIB,0.448874286290946,activation
MAFB,JUN,0.447483000128633,activation
BCL6,PPARD,0.447323529782181,activation
BCL6,NFE2L1,0.444143756473061,activation
PRDM1,JUN,0.44006169574547,activation
MAFB,KLF13,0.438213990987972,activation
BCL6,FOSB,0.432537071622813,repression
BCL6,MYEF2,0.431286525111836,repression
BCL6,PPARG,0.418046506932401,activation
BCL6,CEBPB,0.410307174932184,activation
PRDM1,ELK1,0.407078096436066,repression
EGR2,FOS,0.397270154883871,repression
SPI1,FOS,0.394242180951302,activation
BCL6,SMAD3,0.38672632581189,activation
SPIB,FOS,0.386527681440717,activation
KLF10,BCL6,0.37931136654918,repression
BCL6,BCL6,0.373013672685937,activation
MAFB,BCL6,0.36817260251292,activation
BCL6,VDR,0.365568309965798,activation
PPARG,KLF13,0.364605327846983,activation
EGR2,NFATC1,0.361740820871247,activation
KLF10,SNAI3,0.356666632755846,activation
KLF10,PPARD,0.356419090731082,repression
KLF10,PPARG,0.35609538492701,activation
SPI1,NFATC1,0.34727845676842,activation
SPIB,NFATC1,0.345763515620712,repression
MAFB,PPARG,0.341100123033339,activation
BCL6,TFPT,0.340284033008565,activation
MAFB,PPARD,0.336554399492405,repression
KLF10,FOSB,0.336159556018275,activation
BCL6,PRDM1,0.334407473446104,activation
MAFB,SNAI3,0.332384665348234,repression
KLF10,MYEF2,0.332344748587949,activation
PRDM1,KLF13,0.325921764760194,activation
KLF10,NFE2L1,0.323288005231515,repression
SPI1,ETS1,0.319916687343849,activation
MAFB,FOSB,0.314413621458296,repression
MAFB,MYEF2,0.313971012814602,repression
SPI1,SPIB,0.313940037440981,activation
EGR2,ETS1,0.311766165280656,repression
EGR2,SPIB,0.310686926922442,repression
SPIB,ETS1,0.310461933997963,activation
BCL6,UHRF1,0.307654583732335,repression
KLF10,CEBPB,0.305679948788246,activation
SPIB,SPIB,0.305523226519058,activation
MAFB,NFE2L1,0.303768142275811,activation
PPARG,SNAI3,0.303181221531707,activation
BCL6,CBFB,0.296525874652871,repression
BCL6,SNAI1,0.296439449170884,activation
KLF10,SMAD3,0.292654362476735,activation
MAFB,CEBPB,0.287803641305423,activation
EGR2,JUN,0.285216079024735,activation
KLF10,PRDM1,0.274997145909024,repression
MAFB,SMAD3,0.274806764966118,repression
KLF10,VDR,0.274582212594272,repression
PPARG,NFE2L1,0.274147714351618,repression
BCL6,IRF8,0.27279051426739,repression
SPIB,JUN,0.272717592132341,activation
BCL6,NFATC2,0.272237382508126,activation
SPI1,JUN,0.272157321982814,activation
PPARD,FOS,0.270141517870664,activation
PPARG,PPARD,0.270094373453818,activation
BCL6,HOXA10,0.26987671175667,repression
BCL6,SMAD4,0.26928800186017,repression
PRDM1,SNAI3,0.26804165869467,activation
EGR2,ELK1,0.267004465394739,activation
PPARG,FOSB,0.265030194541535,repression
SPI1,ELK1,0.263196273200357,repression
SPIB,ELK1,0.261213429410891,activation
MAFB,PRDM1,0.260742422297398,activation
MAFB,VDR,0.258645173571704,repression
PPARG,MYEF2,0.256783632108123,repression
BCL6,RXRB,0.256630778025385,activation
PRDM1,PPARD,0.255661751746288,activation
PPARG,CEBPB,0.248870491280084,activation
KLF10,TFPT,0.24841083953592,activation
PPARG,SMAD3,0.245674055240553,activation
PRDM1,FOSB,0.244852739667016,activation
PRDM1,BCL6,0.241411140203524,activation
UHRF1,FOS,0.240257277949149,repression
PRDM1,NFE2L1,0.238662730198923,activation
KLF10,UHRF1,0.237950581044152,activation
PRDM1,PPARG,0.237757630903621,activation
BCL6,STAT1,0.237623594754444,activation
PPARG,PPARG,0.235892022504759,activation
PRDM1,MYEF2,0.235401095003501,repression
BCL6,TCFL5,0.235222544037755,repression
PPARD,NFATC1,0.234654899417426,activation
BCL6,HOXA13,0.233769845815239,repression
BCL6,MYB,0.23300905393137,repression
BCL6,SP3,0.23099983687239,activation
BCL6,TRIM28,0.230698219134633,activation
MAFB,TFPT,0.227686692804241,repression
KLF10,CBFB,0.227272573356222,repression
BCL6,MAFB,0.227128374026338,activation
PPARG,TFPT,0.225559413487684,activation
PPARG,VDR,0.224980119913703,activation
BCL6,NFYA,0.224936694542347,repression
PPARD,SPIB,0.224815020968007,repression
SPI1,KLF13,0.224301345950755,activation
MAFB,UHRF1,0.224183605156542,repression
PRDM1,CEBPB,0.221723252229852,activation
PPARD,ETS1,0.221705522131865,activation
KLF10,SNAI1,0.221603674043104,activation
UHRF1,NFATC1,0.219772533213159,repression
EGR2,KLF13,0.21873622659931,activation
SPIB,KLF13,0.218019702024187,activation
BCL6,SPI1,0.217691931845907,activation
PRDM1,SMAD3,0.216973122858977,activation
MYEF2,FOS,0.215093132325199,repression
MAFB,CBFB,0.213054045986003,activation
BCL6,TCF3,0.212928888427473,activation
BCL6,FLI1,0.212832227301174,activation
BCL6,RUNX1,0.212465753466507,activation
KLF10,IRF8,0.210782626903435,activation
BCL6,NFYC,0.209487846571651,activation
MAFB,SNAI1,0.207719944333297,activation
BCL6,CEBPD,0.202082121255681,repression
KLF10,NFATC2,0.20091510350263,activation
KLF10,SMAD4,0.200183660671907,activation
PRDM1,VDR,0.199967865287483,activation
MYEF2,NFATC1,0.198464654548055,activation
KLF10,HOXA10,0.198230233720855,repression
PPARG,BCL6,0.197971457622276,activation
MAFB,IRF8,0.197456733388834,repression
UHRF1,SPIB,0.196468696902378,activation
PRDM1,TFPT,0.196267713382029,activation
PPARG,PRDM1,0.195994463550596,activation
KLF10,RXRB,0.192685345748586,repression
UHRF1,ETS1,0.191376832995644,repression
BCL6,RREB1,0.190288885304543,repression
RXRB,FOS,0.190052722390909,repression
PRDM1,PRDM1,0.18992253279026,activation
MAFB,NFATC2,0.188167524513049,activation
MAFB,SMAD4,0.187543846531779,activation
PPARG,UHRF1,0.186549415310565,activation
MAFB,HOXA10,0.186334342711288,activation
PPARG,SNAI1,0.18470342132536,repression
KLF10,MAFB,0.183391945168893,repression
PPARG,CBFB,0.182618037541801,repression
MAFB,RXRB,0.182403647664264,repression
KLF10,STAT1,0.176551021199944,activation
PPARD,ELK1,0.176452269943099,activation
EGR2,SNAI3,0.175865766330423,activation
KLF10,TCFL5,0.174323348733443,activation
MAFB,MAFB,0.173525257909409,activation
SPI1,SNAI3,0.17288934629769,activation
KLF10,MYB,0.172636235290874,activation
SPIB,SNAI3,0.171839894012107,repression
KLF10,HOXA13,0.171546732351941,repression
PRDM1,UHRF1,0.171445614361916,repression
PPARG,IRF8,0.171325666028216,repression
LMO2,FOS,0.170343359082025,activation
KLF10,TRIM28,0.170267847271004,activation
KLF10,SP3,0.169661887452511,activation
PPARG,NFATC2,0.169458979586575,activation
BCL6,LMO2,0.168998274541679,activation
RXRB,NFATC1,0.168986692005061,activation
SPI1,BCL6,0.168656001601933,activation
EGR2,PPARD,0.168423722310208,activation
KLF10,SPI1,0.16748039806751,activation
PRDM1,CBFB,0.167038465501351,activation
SPI1,PPARD,0.166827512299979,repression
MYEF2,ETS1,0.166152861146626,repression
PPARD,JUN,0.166152055581006,activation
MAFB,STAT1,0.166143189928161,activation
PPARG,SMAD4,0.16610064297596,repression
SPIB,PPARD,0.165514231658961,repression
KLF10,NFYA,0.165231398593254,activation
EGR2,BCL6,0.16520737998405,activation
MYEF2,JUN,0.164796357576825,repression
PRDM1,SNAI1,0.164045357741906,activation
PPARG,HOXA10,0.163654628981911,repression
MAFB,TCFL5,0.163257338109975,repression
SPI1,PPARG,0.162956400943988,activation
MYEF2,SPIB,0.162668191491209,activation
SPIB,BCL6,0.162106020184365,repression
MAFB,MYB,0.161702201189762,activation
MAFB,HOXA13,0.16128378556859,repression
EGR2,FOSB,0.161086964141812,activation
SPI1,FOSB,0.160204359024092,repression
RXRB,JUN,0.16001218268132,activation
EGR2,PPARG,0.159734177625265,repression
MAFB,TRIM28,0.159632699990754,repression
UHRF1,JUN,0.159112191915964,repression
SPIB,PPARG,0.158910801193387,activation
SPIB,FOSB,0.158662784565739,activation
MAFB,SPI1,0.15852927057369,activation
MAFB,SP3,0.158489688479137,repression
UHRF1,ELK1,0.157951268791639,activation
PRDM1,IRF8,0.156674414709785,repression
LMO2,NFATC1,0.156264917713863,repression
SPI1,MYEF2,0.156183333889628,activation
MAFB,NFYA,0.156100784981785,repression
EGR2,NFE2L1,0.156009679900708,activation
KLF10,TCF3,0.155641180047413,repression
EGR2,MYEF2,0.155509941468931,repression
KLF10,NFYC,0.154431379697434,repression
SPIB,MYEF2,0.154311187230691,activation
SPI1,NFE2L1,0.154063933901237,repression
KLF10,FLI1,0.153857162012714,repression
SPIB,NFE2L1,0.153707972168881,repression
KLF10,RUNX1,0.153511975727185,activation
PPARG,RXRB,0.153197820239315,activation
PPARD,KLF13,0.152517346100471,activation
BCL6,KLF10,0.151412324514828,repression
KLF10,CEBPD,0.151214825053976,repression
PRDM1,NFATC2,0.148749800067671,activation
CEBPD,FOS,0.148291940564878,activation
RXRB,ETS1,0.148087127163947,activation
PRDM1,SMAD4,0.147742767394163,activation
MYEF2,ELK1,0.147696959725427,activation
MAFB,TCF3,0.146485708449763,repression
EGR2,CEBPB,0.145693542294183,activation
PPARG,MYB,0.145374367759425,repression
MAFB,NFYC,0.145330267080065,repression
SPI1,CEBPB,0.145284333495318,activation
PPARG,TCFL5,0.144999596364466,activation
MAFB,FLI1,0.144673356087088,repression
MAFB,RUNX1,0.144572259519412,activation
PPARG,STAT1,0.144535052959755,repression
SPIB,CEBPB,0.14392430249838,activation
PRDM1,HOXA10,0.143848548067118,activation
EGR2,SMAD3,0.14304164852341,repression
PPARG,TRIM28,0.142921269692317,activation
MAFB,CEBPD,0.142632791362655,activation
PPARG,HOXA13,0.142549851402697,repression
PPARG,SP3,0.142270254858828,activation
SPI1,SMAD3,0.141000090986135,activation
SPIB,SMAD3,0.139632109587149,activation
KLF10,RREB1,0.138527560307006,activation
PRDM1,RXRB,0.13711389205079,activation
PPARG,NFYA,0.136239117142348,activation
CEBPD,NFATC1,0.135897331192274,activation
PPARG,MAFB,0.135038920945708,activation
RXRB,SPIB,0.134736031980668,activation
RXRB,ELK1,0.133676567542973,activation
UHRF1,KLF13,0.13193170077411,repression
LMO2,JUN,0.131660620712975,repression
EGR2,VDR,0.13158873945437,repression
CBFB,FOS,0.131456381809762,repression
LMO2,ETS1,0.131365320097848,activation
PPARG,SPI1,0.131100720773413,activation
PPARG,FLI1,0.131036483634672,repression
SPI1,VDR,0.13083454435538,activation
PPARG,RUNX1,0.130292500712949,repression
PRDM1,MAFB,0.13011152638534,activation
MAFB,RREB1,0.13006649883754,repression
SPIB,VDR,0.12959544003685,activation
PPARG,TCF3,0.129309520867582,activation
PRDM1,STAT1,0.129005738400191,repression
PRDM1,TCFL5,0.128991553114508,activation
LMO2,SPIB,0.128096923669002,repression
SPI1,PRDM1,0.128060982659859,activation
PRDM1,MYB,0.127919518113299,repression
EGR2,TFPT,0.126821465478602,activation
EGR2,PRDM1,0.126588380548665,activation
PPARD,BCL6,0.126536670117948,activation
PPARG,NFYC,0.126513338342539,activation
PRDM1,TRIM28,0.125847887298416,repression
PRDM1,HOXA13,0.12583446608591,activation
SPIB,PRDM1,0.125632032323882,repression
KLF10,LMO2,0.125060561651544,repression
PRDM1,SP3,0.125003041165849,activation
SPIB,TFPT,0.123278736723695,repression
PPARG,CEBPD,0.122629869373865,repression
SPI1,TFPT,0.122388194319558,repression
BCL6,EGR2,0.121731373180048,activation
IRF8,FOS,0.120860789926324,activation
CBFB,NFATC1,0.12048424799775,activation
PRDM1,SPI1,0.119945691630182,activation
PRDM1,NFYA,0.119595353925449,activation
CEBPD,SPIB,0.118134197183287,activation
KLF10,KLF10,0.118006214957837,activation
MAFB,LMO2,0.117824402384231,activation
MYEF2,KLF13,0.117794907826104,activation
CEBPD,ETS1,0.117208195579673,repression
PPARD,PPARG,0.116807921140396,activation
LMO2,ELK1,0.11646931376071,repression
PPARG,RREB1,0.11636450327711,repression
PPARD,PPARD,0.11586680125339,activation
PPARD,SNAI3,0.115766571646227,activation
PRDM1,TCF3,0.11351586197437,repression
FOSB,FOS,0.113442045721015,repression
PRDM1,RUNX1,0.113333208778095,repression
PRDM1,FLI1,0.113146058795524,activation
EGR2,UHRF1,0.112820634322657,repression
SPI1,UHRF1,0.112344223376534,activation
CBFB,SPIB,0.111999748064172,activation
MAFB,KLF10,0.111628131820591,repression
NFATC1,FOS,0.111623112268724,repression
PRDM1,NFYC,0.111481030524462,activation
SPIB,UHRF1,0.111329114124147,activation
IRF8,NFATC1,0.111156903777012,repression
STAT1,FOS,0.111073081988625,activation
UHRF1,BCL6,0.110438179914452,repression
ETS1,FOS,0.110299252524123,activation
PRDM1,CEBPD,0.109675165182638,activation
EGR2,CBFB,0.109524705159074,repression
PPARD,FOSB,0.10910003782528,repression
RXRB,KLF13,0.108443490484514,repression
SPI1,CBFB,0.108202956726522,activation
PPARD,MYEF2,0.107857737418067,repression
SPIB,CBFB,0.107476150947064,activation
EGR2,SNAI1,0.10734389339011,repression
SPI1,SNAI1,0.105815867837912,activation
FOSB,NFATC1,0.105497179185804,activation
SPIB,SNAI1,0.105471013557879,activation
CBFB,ETS1,0.105462865081062,repression
ETS1,NFATC1,0.104463937817167,repression
CEBPD,JUN,0.104460733422087,activation
IRF8,SPIB,0.104349221545877,activation
PPARD,NFE2L1,0.104346686094265,activation
UHRF1,SNAI3,0.103111568412773,repression
EGR2,IRF8,0.102845300962812,repression
NFATC1,NFATC1,0.10254485981769,activation
UHRF1,PPARD,0.102465992695672,activation
PRDM1,RREB1,0.102039412205045,activation
PPARG,LMO2,0.101627348633934,activation
UHRF1,PPARG,0.101180248209868,activation
SPI1,IRF8,0.100779595925856,activation
SPIB,IRF8,0.100173535208699,activation
PPARD,CEBPB,0.0990031731703526,repression
STAT1,NFATC1,0.0983930904140558,repression
CEBPD,ELK1,0.0979034610837236,repression
IRF8,ETS1,0.0974779800377136,repression
NFATC1,SPIB,0.0974261722614661,repression
MYEF2,SNAI3,0.0974163614370421,repression
EGR2,NFATC2,0.0974086377757038,repression
UHRF1,FOSB,0.0968311113642675,repression
EGR2,SMAD4,0.0964316770562341,activation
SPI1,NFATC2,0.0962399224905612,activation
SPIB,NFATC2,0.0958382078532289,activation
PPARD,SMAD3,0.0953435707154998,activation
SPI1,SMAD4,0.0952042608083721,repression
SPIB,SMAD4,0.0951014760591141,repression
FOSB,SPIB,0.0946683607227752,activation
EGR2,HOXA10,0.0944803616240566,repression
SPI1,HOXA10,0.0944307102058381,activation
UHRF1,MYEF2,0.0942126430507211,activation
LMO2,KLF13,0.0936255699380473,activation
SPIB,HOXA10,0.0936117116845264,activation
STAT1,SPIB,0.0930909174041531,repression
UHRF1,NFE2L1,0.0916915716461088,activation
ETS1,JUN,0.0914164706535836,activation
KLF10,EGR2,0.0913480941206053,activation
MYEF2,PPARD,0.0913193080910864,repression
STAT1,ETS1,0.0907032832725381,activation
PPARG,KLF10,0.0905796300737235,activation
SPI1,RXRB,0.090508834716668,activation
EGR2,RXRB,0.0902931874366447,activation
PRDM1,LMO2,0.0902733233468248,activation
