G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,h
0.339356373,-0.020217603,0.819217651,0.375415173,0.246465219,0.51667965,0.393255029,0.291745581,0.385577258,0.567715791,0.651371743,0.610097404,0.390415921,0.318397619,0.446875503,-0.011212675,0.589292446,0.605134279,0.591643299,0.21781708,0.823785137,0.715539497,0.767163854,0.425460592,0.594781771,0.458887616,0.473396744,0.822591182,0.845502361,0.418386743,0.320824938,0.108197868,-0.028174425,0.110315159,0.127807315,0.554070892,-0.045569159,0.029969759,0.621024263,0.528580346,0.913352615,0.474264722,0.4786097,-0.070998707,0.418445397,0.661917818,0.997866996,0.165600062,0.238647976,0.615723136,0.441974015,0.56206512,0.616474907,0.827301896,0.089318062,0.853895298,0.429951569,0.779399935,0.61567306,-0.017689321,0.156272743,0.29735701,0.659081213,0.115246192,0.662716671,0.633560849,0.815261176,0.9966493,0.554913965,0.650255478,0.057828415,0.227223533,0.654780274,0.870473646,0.185742,0.916596829,0.818916687,-0.061164926,0.8373932,0.182640877,0.767665945,-0.084036531,0.466441526,0.788674918,0.143637004,0.152051009,0.302118968,0.387969408,0.572720378,0.125325038,0.869521113,0.585235045,-0.078233628,0.007071418,0.054045602,0.75944097,0.797390195,0.0026572,0.852108264,0.318498147,0
0.295287938,0.100800126,0.724213759,0.327061529,0.250363531,0.565184928,0.203246362,0.426415482,0.244657797,0.707516042,0.42911002,0.535978712,0.802410858,0.434114303,0.39505541,0.069676829,0.491647717,0.687471254,0.78890028,0.432003006,0.695944833,0.526892854,0.913823722,0.733155232,0.382483527,0.571226953,0.214810658,0.93012169,0.688211145,0.342548913,0.385534263,-0.226327057,0.116223138,0.196262253,-0.051983285,0.504828359,0.312992227,0.157235026,0.82780411,0.660377392,0.904552874,0.660410077,0.497369563,0.117368909,0.455549032,0.712727526,0.757142061,0.194179897,0.338410009,0.379744115,0.473273555,0.551544974,0.914910525,0.960542181,0.053424812,1.132409155,0.806104153,0.618349567,0.500154442,0.286662958,0.077568278,0.362070284,0.849621502,0.273895244,0.986559571,0.685858046,0.66815966,0.83592614,0.953282361,0.670740802,0.056288584,0.12199878,0.710470408,0.922167434,0.331178329,0.661046209,0.62607726,-0.002680849,1.141914372,0.174590846,0.891467453,-0.173533534,0.584052676,0.844509301,0.065432187,0.243366092,0.321329549,0.462321761,0.944169421,-0.051122225,0.87648186,0.642498733,0.030477642,0.025676881,0.034111318,0.558408647,0.803076654,0.063688518,0.814047694,0.273739749,0
0.449070835,0.115708487,0.827102585,0.205090046,0.198394975,0.621752792,0.253907568,0.23234216,0.60165708,0.513554088,0.907897442,0.620888272,0.612844133,0.328717097,0.495417342,0.030563336,0.652441308,0.48977339,0.777635389,0.471425652,0.91878774,0.959294057,1.04022883,0.550396468,0.538653788,0.570299076,0.345778916,0.672144268,0.693160841,0.565790968,0.260935311,0.265808918,-0.076253204,-0.022249938,0.034436612,0.508257849,0.043555022,0.085052456,0.723274318,0.630441573,0.743917573,1.174331205,0.395861362,0.11963148,0.406863228,0.760959005,0.801192852,0.007061993,0.43555723,0.535025771,0.825056453,0.651569255,0.762105922,0.814042166,0.057290037,0.843400973,0.679534717,0.974533347,0.36774599,0.312200592,0.193336839,0.176149915,1.04429939,0.064029058,0.715671311,0.611864469,0.707738816,0.889711818,1.047379348,0.750449796,0.163411043,0.190995742,1.058616228,0.690806969,-0.057714144,0.7870071,0.776425491,0.048521477,0.728498199,0.439979449,0.630117095,0.062910891,0.701498958,0.814377184,0.13851149,0.280982749,0.443647508,0.297655602,0.682350859,0.032032748,0.747783946,0.679064323,0.02960252,-0.129461678,-0.056233842,0.98067325,0.967102334,0.095766025,0.644703726,0.32879123,0
0.471416076,0.029618245,0.917448606,0.152359842,0.255925489,0.627875223,0.136848997,0.274556858,0.319331909,0.672805878,0.611935378,0.688008391,0.556239317,0.421149078,0.659823521,-0.001423022,0.730205121,0.565332699,0.998934776,0.299872406,0.707779769,0.851709164,1.1873638,0.549728247,0.405251358,0.664812471,0.588822552,0.95255624,0.774341006,0.5434155,0.249991118,0.025928157,0.21079376,0.01488203,-0.036698578,0.567257216,-0.001527462,0.0706285,0.795502048,0.444426213,0.924729715,0.663303697,0.39207385,0.030104508,0.334277868,0.644753459,0.801618811,0.058387415,0.240352206,0.48155271,0.637724919,0.855274281,0.710084837,1.046089357,0.06421252,0.595551505,0.957154874,0.568575017,0.54393063,0.138460524,0.077481244,0.223674966,0.87065017,0.335625719,0.923988837,0.544738743,0.999571339,0.795431567,0.849473574,0.741558979,0.081308062,0.218890523,1.049947525,1.005169006,0.139808277,0.959161034,0.945429804,-0.099218506,0.813217493,0.371267352,0.882350983,0.257002425,0.613893852,0.732621878,0.037084086,0.19092581,0.372376261,0.320194843,0.613185092,-0.051864105,0.778520686,0.748981294,0.184946691,-0.103137627,-0.019195414,0.853793573,0.930026608,0.03351954,0.647475202,0.311268305,0
0.506284984,-0.158247152,0.427819811,0.184599789,-0.000170011,0.537208484,0.085816139,0.249906852,0.294602989,0.492241519,0.480697316,0.364873331,0.41318405,0.477921743,0.495645151,0.029121442,0.345831249,0.519193799,0.791241245,0.300576056,0.618572296,0.800983149,0.754055245,0.239117892,0.399835818,0.352868515,0.27990262,0.578512301,0.848016779,0.488055267,0.414090401,-0.033779969,0.226211517,0.085954514,0.050884946,0.321692747,-0.006124102,-0.007654786,0.716811772,0.287341459,1.008993482,0.750414942,0.195448061,0.124646469,0.495718413,0.607824901,0.750448996,0.147718338,0.267464795,0.451032045,0.630479875,0.54879941,1.000207153,0.715266943,0.118759891,0.609129067,0.561200013,0.644976403,0.216712429,-0.041240538,0.142589393,0.121242398,0.735272296,0.301254754,0.561845253,0.599321639,0.705404067,0.730945163,0.530313796,0.649717698,0.003640544,0.212219497,0.737638828,0.902895623,0.141038326,0.883390685,0.599885373,-0.01035715,0.751692073,0.225838406,0.708798266,0.009850137,0.333081186,0.582224333,0.086429439,0.342965237,0.455636299,0.415087508,0.498667059,0.146042249,0.795094606,0.903662436,0.096397137,0.226728512,-0.043270943,0.873626679,0.543346117,0.184529502,0.497363285,0.028928922,0
0.401597096,-0.103048051,1.009613672,0.440720579,0.242911175,0.560542707,0.109406493,0.342036595,0.399308273,0.60178323,0.712515433,0.581961191,0.524370526,0.613678791,0.598831501,0.017194416,0.493883353,0.494140807,0.685109769,0.336630454,0.595786242,0.903609664,0.915746104,0.364130891,0.365231417,0.407445214,0.34443995,0.841233481,0.678848377,0.46299412,0.184411229,0.025582498,0.114077263,-0.076564693,0.039266105,0.616247602,0.086714173,-0.015580346,0.801538134,0.442404701,0.994528784,0.931004623,0.492891098,-0.078953563,0.508261571,0.823795842,0.778379163,0.291887611,0.492497512,0.332811197,0.610705714,0.715049765,1.02469749,0.767654312,0.040703048,0.754368641,0.778844736,0.820735385,0.261048246,0.246549394,0.047386767,0.260123922,1.150471866,0.077465819,0.62950828,0.474228492,0.672743898,0.840500456,0.89074542,0.803258409,0.097868087,0.054740856,0.732803092,0.750526359,0.170852987,0.774140021,0.97603126,0.010272271,0.771484261,0.187159543,0.73252141,0.012818579,0.601413275,0.909237359,0.062110825,0.518585856,0.460868822,0.424061852,0.877683571,-0.033791721,0.835752685,0.652442043,0.044955156,0.027768711,0.210775543,0.690095652,0.810605403,0.071485955,0.765021033,0.323770214,0
0.571046512,0.191486668,0.764202815,0.218574101,0.384336884,0.363430199,0.208424688,0.307386732,0.470138399,0.5027103,0.648973808,0.448217021,0.779274056,0.501892651,0.614922267,0.122592736,0.639211602,0.691962829,1.067052111,0.481324934,0.812612893,0.634291009,0.982615396,0.735651269,0.441138514,0.495812702,0.485423468,0.725269987,0.79653621,0.223087861,0.442225977,-0.029489796,0.042910279,0.008958785,-0.103828314,0.447796332,0.101528173,0.087135043,0.709243522,0.363522402,0.709982176,0.837620867,0.193217019,0.120243532,0.511792944,0.530957576,0.692142889,0.022528133,0.269395147,0.271013187,0.705175273,0.54460321,1.110974112,0.86896499,-0.010403523,0.644433662,0.728223402,0.858142038,0.521277271,0.234596145,0.201096327,0.442225993,0.987108288,0.070019569,0.933489053,0.632611157,0.777724035,0.911044488,0.759028812,0.792735262,0.076953881,0.125196411,0.832139135,0.94513965,0.06678454,0.921702212,1.010097828,0.143911582,1.027032005,0.303022503,0.86390633,-0.024282503,0.488064926,0.89499663,-0.066722594,0.442042875,0.370979365,0.231676752,0.622358387,0.139815257,0.963975573,0.732274646,0.154850497,0.136748481,0.025480082,0.802545957,0.821216072,0.05428114,0.7729051,0.508785836,0
0.409315953,-0.118403412,0.703910274,0.306198097,0.322626053,0.498685856,0.107359813,0.235916503,0.32925866,0.610927461,0.631717356,0.52415441,0.61684225,0.519437061,0.232036356,0.11358161,0.483717422,0.829729687,0.67197926,0.335616901,0.685780526,0.655007612,0.716640291,0.535066882,0.469165028,0.230699859,0.278813246,0.812489342,0.638804161,0.476727121,0.162383015,0.156126892,0.159189115,-0.190441721,0.194021786,0.452914517,0.241854018,-0.174670152,0.76211072,0.491421891,0.787861513,0.757447672,0.17830917,0.029994262,0.542355086,0.79270737,0.84120869,-0.025798546,0.244700813,0.311224917,0.760187543,0.427501497,0.815576811,0.93797795,0.107258373,0.628741333,0.912991687,0.695868935,0.559245824,0.429272816,0.004078128,0.283501494,0.806295251,0.094983566,0.64824864,0.577324478,0.888456979,0.510036398,0.897617566,0.932890698,0.05802205,0.439626494,0.677796967,0.627828168,0.192574404,0.680180367,0.640750168,0.040229402,0.608291863,0.30515676,0.652627614,-0.02325367,0.486395463,0.632294873,0.071555539,0.426230181,0.416231749,0.358848641,0.536542423,-0.024742626,0.970927864,0.772266303,0.067889245,0.043849005,0.082271554,0.774992415,0.665321333,0.055513516,0.792549068,0.249427459,0
0.524476909,-0.102557465,0.698781926,0.573480828,0.115856978,0.545449304,0.092064092,0.30583199,0.240055643,0.773295134,0.57188309,0.576857424,0.756039455,0.494862967,0.373700632,-0.068704108,0.641158174,0.65666944,0.960113894,0.309699168,0.699246797,0.780116813,0.743214,0.545794456,0.512299162,0.385488584,0.57048485,0.88473306,0.748214025,0.357045534,0.396695359,0.092714551,0.317481856,0.148832607,-0.060538121,0.691613232,0.15544689,0.075247127,0.823490287,0.442084202,0.659938762,1.118278628,0.419450922,-0.024580796,0.349646686,0.77780287,0.768285842,-0.027671009,0.337429623,0.517088173,0.82361246,0.826221945,0.911772217,0.813548663,-0.063523539,0.783468693,0.85468546,0.805735656,0.445326641,0.232222516,-0.015069486,0.516982524,0.961212062,0.010658809,0.966499751,0.66706766,0.75710256,0.731786301,0.84969274,0.87214648,0.101678032,0.123127473,0.883623623,0.883981813,0.13658779,0.971412576,0.860909357,0.242369572,0.599715907,0.252714956,0.703441453,-0.04810193,0.648460414,0.689187543,-0.072291203,0.1437719,0.367609009,0.433096285,0.731414931,-0.073644702,0.899751422,0.801522409,0.025933903,0.026437237,0.103733253,0.935806235,0.873422904,0.007735012,1.008754142,0.086286915,0
0.414408971,0.014385437,0.700044301,0.327169604,0.179792585,0.635961115,0.182436218,0.350382118,0.376835749,0.848648833,0.746825728,0.80894294,0.454099041,0.396600579,0.698020016,0.062886603,0.615805392,0.536027797,0.833629257,0.336370316,0.638443499,0.790573165,0.647501251,0.564755084,0.448731643,0.458649874,0.316320411,0.70462875,0.807690788,0.203147038,0.157245773,0.047647767,0.267708594,-0.05282871,0.124265192,0.327210487,0.179081826,0.165249058,0.895485587,0.592075909,0.659867655,0.927615614,0.303848038,0.077710104,0.618988954,0.451196391,0.693064084,0.090867214,0.231594363,0.508406426,0.619151109,0.602775884,0.637640412,0.641101288,-0.077103748,0.48933291,0.561253651,0.537523259,0.325358517,0.240365078,0.009153487,0.191591869,0.706770015,0.312366159,0.532734218,0.589848395,1.012111359,0.858432496,0.716245979,0.787995591,-0.046384027,0.398802468,0.875175906,0.589928638,0.254268012,0.737843051,0.459262504,-0.013197576,0.562801381,0.394634138,0.996177181,-0.047814186,0.609943454,0.980989627,-0.082041826,0.274408738,0.243353308,0.396625862,0.617614862,-0.045563844,0.643712344,0.729817448,0.024748034,0.081071686,0.008686719,0.783419903,0.836034069,0.051204132,1.168686591,0.237019511,0
