BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR,h
8.6953699,9.1754934,8.4145353,11.4242863,3.7802696,9.1533566,5.9175946,11.581634,8.8553529,3.7802696,9.7706471,11.8465909,12.1730709,3.7802696,12.2514736,15.6202893,18.1660361,3.7802696,11.8214018,14.255352,7.2598218,9.7465897,10.9827522,23.3827941,17.8403334,12.8516918,3.7802696,3.7802696,23.6992843,17.5295179,12.0688554,12.0265519,11.1174675,7.6051959,3.7802696,13.7297732,14.4335158,9.8616866,12.6815901,12.1311011,10.7419366,8.8517444,12.9472126,13.7060081,8.3097131,0
14.0241672,8.2617432,12.6212516,11.3867288,4.0480262,10.8530089,4.0480262,13.9318724,4.0480262,4.0480262,9.1037495,12.5130396,9.0607782,10.6214694,10.5337202,13.3208019,21.2284836,8.9633873,10.3157565,11.9994712,4.0480262,10.4915603,4.0480262,14.786099,13.9358041,13.8686221,4.0480262,11.0949734,21.4112907,15.8605152,11.9863481,10.6282674,9.8545958,10.3333367,4.0480262,11.1633036,18.4298305,12.0434764,12.2575808,8.3737225,8.4722362,9.5712509,14.0301398,15.9133078,4.0480262,0
3.9539206,9.3483853,3.9539206,12.616369,3.9539206,3.9539206,7.1835561,10.6209559,3.9539206,3.9539206,11.8904599,13.6646566,16.4597607,10.5079723,14.4930035,13.6231512,19.6891462,3.9539206,13.2843689,3.9539206,3.9539206,12.0729901,10.5392537,15.687643,14.9123514,8.8542897,3.9539206,3.9539206,16.1813072,18.0150607,10.6079474,3.9539206,11.3687182,3.9539206,15.2990408,14.5099162,15.9618506,14.493007,12.2769243,10.6582688,9.6251122,9.5527483,13.5478473,18.9207062,3.9539206,0
8.603252,10.1646245,8.8250029,11.6437441,3.7025829,3.7025829,6.4154163,11.4962164,8.5780919,3.7025829,3.7025829,8.2084429,12.2623366,3.7025829,12.0726066,11.74097,16.1003497,8.2543704,11.8076842,10.5073827,7.2233968,11.7229262,9.2722871,18.6043529,15.2752336,8.4044177,12.8905946,8.2621466,14.6606306,15.8031861,11.7450895,9.4741045,10.3022746,7.3953905,10.6561491,12.5107958,15.2836907,10.8374948,10.2788508,13.2661063,8.6291317,3.7025829,11.7347579,12.3496672,8.3910763,0
3.8215293,9.0818561,6.6428617,11.9541107,9.7170601,7.2941686,3.8215293,11.080306,7.5924573,3.8215293,11.1128796,13.419446,12.0696552,11.2482126,13.8834643,11.6088966,21.2067565,3.8215293,10.9032354,10.0893143,3.8215293,11.1839699,11.7837457,19.3691123,16.0111237,8.5798321,11.4366211,10.5185648,17.294433,19.265027,11.2054835,8.2458678,9.5465357,3.8215293,10.2646312,12.5576537,13.3148931,11.1490129,12.9102796,13.3078299,8.6135659,7.252733,12.2562287,13.700334,3.8215293,0
17.8824481,13.2001094,10.8960199,13.378882,4.0419041,4.0419041,4.0419041,14.1282736,10.2488861,4.0419041,4.0419041,15.6529726,13.2027837,11.5654646,17.3651448,14.1146915,17.5776159,11.0565222,10.5187035,13.4860738,10.001153,14.8721066,11.6915938,13.4338035,4.0419041,14.4156091,12.730292,12.2871151,17.9046275,22.7147416,15.00454,13.8968032,11.6396869,4.0419041,22.3762036,14.183656,20.1184087,4.0419041,15.3814616,14.0867103,4.0419041,9.2019259,11.0847251,4.0419041,4.0419041,0
3.9008987,8.1247132,10.7500742,8.7502186,3.9008987,3.9008987,6.8361775,11.9682047,9.5582851,3.9008987,11.3139132,13.8425966,9.4351808,3.9008987,10.7979221,9.7817041,19.7392196,3.9008987,9.5314517,7.8226371,3.9008987,8.1336118,12.0322536,17.670553,13.1784,12.5575642,10.2564337,3.9008987,12.5731524,14.454786,3.9008987,9.7839852,9.9646815,8.4727367,3.9008987,9.9809181,13.2295535,3.9008987,10.5266352,9.9903188,7.5450719,3.9008987,13.5533321,21.4313957,7.9716406,0
3.996369,8.256181,11.9066584,10.5347083,3.996369,3.996369,3.996369,13.6974631,10.773807,3.996369,12.0710609,3.996369,12.4205361,3.996369,13.6398237,10.0395506,20.0295187,3.996369,10.0660113,9.1246163,3.996369,15.0825879,10.5397057,18.1328262,16.8543831,12.9135268,10.0342734,11.675677,15.827219,18.6373285,13.7851167,10.8555865,11.5464254,3.996369,3.996369,10.9747339,14.4407816,12.8055663,11.0398234,10.228764,7.9929306,8.9653606,13.6939527,15.8176317,7.2949376,0
11.1538215,7.9297977,9.0497446,10.2156778,3.9472486,3.9472486,7.220674,11.0190472,10.7687071,3.9472486,3.9472486,16.2181771,13.8400158,3.9472486,12.9299988,13.6513083,18.2128797,3.9472486,9.4403332,9.5194792,3.9472486,12.3299715,10.5789754,17.0405328,15.3126129,11.7451273,14.1437427,9.2853645,14.352661,13.7986089,3.9472486,3.9472486,11.090504,9.9156164,3.9472486,11.5245014,16.5653304,3.9472486,9.6930518,9.2223884,7.9730841,3.9472486,13.4719506,14.7353827,9.16906,0
9.7148835,10.3547909,3.7559847,11.4052551,3.7559847,3.7559847,6.9281713,11.8945785,8.5732863,3.7559847,9.5860603,11.2958289,15.1306639,8.2539579,14.7269788,12.827992,19.0472317,3.7559847,13.3251561,12.8318842,3.7559847,9.3244031,10.3325435,23.2483559,18.7912037,11.4830838,10.7138211,3.7559847,20.030444,17.1634352,11.3966407,11.1193246,11.2138062,8.0429574,11.8811749,13.0774771,16.0779405,3.7559847,12.4491057,14.1810351,9.9656402,9.5602995,14.1851076,12.3822198,8.8996403,0
