BCL6,1,EGR2,FOS,ID1,KLF13,KLF4,MLLT3,NFATC2,SNAI3,SP1,ND,ND,ND
BCL6,-1,GATA2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BRCA1,-1,SPIB,ZNF217,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CBFB,1,BRCA1,CEBPA,CEBPB,E2F2,LMO2,MYBL2,NFATC2,PPARG,RARG,RUNX1,ND,ND
CBFB,-1,ETS2,TCFL5,ZNF217,ND,ND,ND,ND,ND,ND,ND,ND,ND
CEBPB,1,BRCA1,E2F1,FOXJ3,HOXA9,KLF10,KLF4,PPARG,PRDM1,RARG,SMAD4,SPI1,ND
CEBPD,1,FOS,KLF4,MYEF2,NFATC2,PPARG,PRDM1,RARA,RARG,RREB1,ND,ND,ND
CEBPG,1,SOX5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CEBPG,-1,SPI1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DDIT3,1,EGR2,ETS1,KLF4,MAX,NFATC2,PPARG,PRDM1,RARA,RARG,SNAI3,ND,ND
DDIT3,-1,TCFL5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
E2F1,1,CBFB,CR595360,E2F2,FOS,MYC,NFKB1,PPARG,RREB1,RUNX1,SNAI3,SPI1,STAT3
E2F2,1,PPARG,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
E2F2,-1,DDIT3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EGR2,1,E2F2,ELK1,FOXD1,KLF13,KLF4,MAFB,NFATC1,NFATC2,PCGF4,PPARD,PPARG,PRDM1
EGR2,1,RARA,RARG,RXRA,SNAI1,SNAI3,SPIB,STAT3,ND,ND,ND,ND,ND
EGR2,-1,BCL2,YY1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELK1,1,BCL6,EGR1,IRF8,MAFB,NFATC2,PPARD,PPARG,PRDM1,RARG,RREB1,STAT1,ND
ELK1,-1,CEBPG,YY1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ETS1,1,EGR2,FOXD1,IRF8,KLF4,MAFB,RARG,SP1,ND,ND,ND,ND,ND
ETS1,-1,DDIT3,SPI1,UHRF1,ND,ND,ND,ND,ND,ND,ND,ND,ND
ETS2,1,JUN,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EWSR1,1,UHRF1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EWSR1,-1,JUN,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FLI1,1,LMO2,NFATC2,PPARG,SP1,ND,ND,ND,ND,ND,ND,ND,ND
